"Site","Island","Island_Code","Latitude","Longitude","Date","DataorError","Error_Category","ColonyName","Spec_Code","Genus","Genus_Code","Shape_Length","Shape_Area"
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_025_0","ACSP","Acropora sp.","ACSP",0.193742971,0.00226332
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_026_0","PGRA","Pocillopora sp.","POCS",0.746502426,0.02404692
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_027_0","ACSP","Acropora sp.","ACSP",0.231015051,0.00354022
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_028_0","ACSP","Acropora sp.","ACSP",0.152630276,0.00150352
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_029_0","ACSP","Acropora sp.","ACSP",0.165559205,0.00152402
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_030_0","ACSP","Acropora sp.","ACSP",0.411645325,0.00495794
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_031_0","ACSP","Acropora sp.","ACSP",0.48405163,0.01340952
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_032_0","ACSP","Acropora sp.","ACSP",0.076890158,0.00036152
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_033_0","ACSP","Acropora sp.","ACSP",0.106547013,0.00056872
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_034_0","PGRA","Pocillopora sp.","POCS",0.681105457,0.01518072
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_035_0","ACSP","Acropora sp.","ACSP",0.068304372,0.00025942
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_036_0","ACSP","Acropora sp.","ACSP",0.170044488,0.00167582
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_037_0","ACSP","Acropora sp.","ACSP",0.233985611,0.00166142
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_038_0","ACSP","Acropora sp.","ACSP",0.156287128,0.00127632
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_039_0","ACSP","Acropora sp.","ACSP",0.278027242,0.00407272
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_040_0","POCS","Pocillopora sp.","POCS",0.280328761,0.00496762
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_041_0","POCS","Pocillopora sp.","POCS",0.672034381,0.01620342
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_042_0","PGRA","Pocillopora sp.","POCS",1.427227382,0.04240312
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_043_0","PMEA","Pocillopora sp.","POCS",0.102789653,0.00070822
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_044_0","ACSP","Acropora sp.","ACSP",0.668277021,0.01722192
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_045_0","PGRA","Pocillopora sp.","POCS",0.909171465,0.01397902
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_046_0","ACSP","Acropora sp.","ACSP",0.124931788,0.00102742
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_047_0","ACSP","Acropora sp.","ACSP",2.256575479,0.1235533
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_048_0","ACSP","Acropora sp.","ACSP",0.311725729,0.00614622
"OCC_BAK_008","Baker","BAK",0.188409,-176.479919,2017-04-10,"DATA","Growth Data","OCC_BAK_008_049_0","PGRA","Pocillopora sp.","POCS",0.188186626,0.00154542
