"Site","Island","Island_Code","Latitude","Longitude","Date","DataorError","Error_Category","ColonyName","Spec_Code","Genus","Genus_Code","Shape_Length","Shape_Area"
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_25_0","POSP","Porites sp.","POSP",0.375264385,0.004706475
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_32_0","PLOB","Porites sp.","POSP",0.236471133,0.00299432
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_33_0","PLOB","Porites sp.","POSP",0.092239633,0.00050828
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_26_0","PLOB","Porites sp.","POSP",0.266593447,0.00360517
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_27_0","PLOB","Porites sp.","POSP",0.334306801,0.00370873
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_34_0","PLOB","Porites sp.","POSP",0.07261544,0.000273315
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_29_0","PLOB","Porites sp.","POSP",0.068160204,0.000275495
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_28_0","PLOB","Porites sp.","POSP",0.300875127,0.00268941
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_30_0","POSP","Porites sp.","POSP",0.242671741,0.001791895
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_31_0","POSP","Porites sp.","POSP",0.138558363,0.0008976
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_35_0","PLOB","Porites sp.","POSP",0.112603378,0.000751015
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_36_0","PLOB","Porites sp.","POSP",0.105234695,0.000676375
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_37_0","PLOB","Porites sp.","POSP",0.272509686,0.004805625
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_38_0","PLOB","Porites sp.","POSP",0.230978717,0.002597785
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_41_0","PLOB","Porites sp.","POSP",0.308384604,0.00217064
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_47_0","PLOB","Porites sp.","POSP",0.607852294,0.01328943
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_46_0","POSP","Porites sp.","POSP",0.14726617,0.000896465
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_45_0","PLOB","Porites sp.","POSP",0.764740844,0.01677549
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_43_0","PLOB","Porites sp.","POSP",0.317759516,0.00506007
"OCC_GUA_015","Guam","GUA",13.52893,144.80042,"2017-05-04","DATA","Growth Data","OCC_GUA_015_44_0","PLOB","Porites sp.","POSP",0.319716025,0.005546205
