"","Island","Site","Genus","Site_Genet","TP_ID_STA","Year_STA","TL_Date_STA","SArea_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TP_ID_END","Year_END","TL_Date_END","SArea_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_SArea_STA","l10_SArea_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_SArea_ENDann","Mortality","Survival"
"1","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_025",1,2017,2017-04-10,0.00265808,0.00226332,0.193742971,1,2,2018,2018-06-15,0.005044868,0.00291542,0.260671902,1,"GROW","17_18",-2.64525403888253,-2.53529887125039,0.109955167632134,-2.57543195227376,-2.29715019268209,0.278281759591664,1.18001368925394,-2.55207277443325,-2.33960268848987,0,1
"2","BAK","OCC-BAK-008","POCS","OCC-BAK-008_026",1,2017,2017-04-10,0.055236206,0.02404692,0.746502426,1,2,2018,2018-06-15,0.200126213,0.03187042,0.877656751,1,"GROW","17_18",-1.61894054143835,-1.49661221319773,0.122328328240619,-1.25777615938108,-0.698696022729808,0.559080136651273,1.18001368925394,-1.51527366930404,-0.783984929887166,0,1
"3","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_027",1,2017,2017-04-10,0.006938483,0.00354022,0.231015051,1,2,2018,2018-06-15,0.019949399,0.01023732,0.415223206,1,"GROW","17_18",-2.4509697487603,-1.98981372124559,0.461156027514714,-2.15873547143925,-1.70007018343163,0.458665288007621,1.18001368925394,-2.06016408971216,-1.77004058409637,0,1
"4","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_028",1,2017,2017-04-10,0.001929487,0.00150352,0.152630276,1,2,2018,2018-06-15,0.007555551,0.00532672,0.285541964,1,"GROW","17_18",-2.82289079048873,-2.27354013138316,0.549350659105562,-2.71455814316011,-2.12173385858719,0.592824284572913,1.18001368925394,-2.35734478529544,-2.21217050988805,0,1
"5","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_029",1,2017,2017-04-10,0.001946849,0.00152402,0.165559205,1,2,2018,2018-06-15,0.007725295,0.00388092,0.250228252,1,"GROW","17_18",-2.81700933363117,-2.41106530957038,0.405944024060785,-2.71066773158725,-2.11208492751142,0.598582804075833,1.18001368925394,-2.47299296521306,-2.20340005365523,0,1
"6","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_030",1,2017,2017-04-10,0.007377748,0.00489004,0.41105954,2,2,2018,2018-06-15,0.018155645,0.01191786,0.755956833,3,"GROW","17_18",-2.31068758837981,-1.92380172057129,0.386885867808519,-2.13207618295016,-1.74098831767012,0.391087865280043,1.18001368925394,-1.98282201247015,-1.80064963354521,0,1
"7","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_033",1,2017,2017-04-10,0.000716884,0.00056872,0.106547013,1,2,2018,2018-06-15,0.002756265,0.00192112,0.177458699,1,"GROW","17_18",-3.24510149877982,-2.71644550671033,0.528655992069487,-3.14455111244316,-2.55967902968713,0.584872082756031,1.18001368925394,-2.79709314355156,-2.64890255507277,0,1
"8","BAK","OCC-BAK-008","POCS","OCC-BAK-008_034",1,2017,2017-04-10,0.02604996,0.01518072,0.681105457,1,2,2018,2018-06-15,0.050811908,0.02251622,0.800485178,1,"GROW","17_18",-1.81870762998128,-1.64750451661517,0.171203113366104,-1.5841929392279,-1.29403449691585,0.290158442312048,1.18001368925394,-1.67362192892102,-1.33829880685092,0,1
"9","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_036",1,2017,2017-04-10,0.002003984,0.00167582,0.170044488,1,2,2018,2018-06-15,0.004032993,0.00269212,0.215801844,1,"GROW","17_18",-2.77577263081605,-2.56990558554156,0.205867045274492,-2.69810575023965,-2.39437253178956,0.30373321845009,1.18001368925394,-2.60131105706545,-2.44070770374569,0,1
"10","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_037",1,2017,2017-04-10,0.003738052,0.00166142,0.233985611,1,2,2018,2018-06-15,0.003272653,0.00251312,0.224086117,1,"GROW","17_18",-2.77952056584781,-2.59978677360656,0.179733792241254,-2.42735466144943,-2.48510004057477,-0.0577453791253366,1.18001368925394,-2.62720555977794,-2.4762908557082,0,1
"11","BAK","OCC-BAK-008","ACSP","OCC-BAK-008_039",1,2017,2017-04-10,0.005033013,0.00407272,0.278027242,1,2,2018,2018-06-15,0.00820985,0.00567232,0.31948309,1,"GROW","17_18",-2.39011544668663,-2.24623927671179,0.143876169974844,-2.29817194784229,-2.08566477768779,0.212507170154491,1.18001368925394,-2.2681879035699,-2.11808321489814,0,1
