"","Island","Site","Genus","Site_Genet","TP_ID_STA","Year_STA","TL_Date_STA","SArea_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TP_ID_END","Year_END","TL_Date_END","SArea_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_SArea_STA","l10_SArea_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_SArea_ENDann","Mortality","Survival"
"1","ASC","OCC-ASC-003","POSP","OCC-ASC-003_025",2,2017,2017-06-07,0.016246237,0.01078569,0.606406087,1,3,2022,2022-07-24,0.032035528,0.018847785,0.620660751,1,"GROW","17_22",-1.96715206626778,-1.72473968093831,0.242412385329473,-1.78924721557038,-1.49436811370125,0.294879101869124,5.12799452429843,-1.91987970975866,-1.73174342915409,0,1
"2","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_026",2,2017,2017-06-07,0.003063519,0.00179477,0.221853052,1,3,2022,2022-07-24,0.7007456849,0.118744615,2.885996192,2,"GROW","17_22",-2.74599119841206,-0.925386076261521,1.82060512215053,-2.51377942182148,-0.154439567887889,2.35933985393359,5.12799452429843,-2.3909586191993,-2.05368925543107,0,1
"3","ASC","OCC-ASC-003","POCS","OCC-ASC-003_027",2,2017,2017-06-07,0.003426176,0.00180849,0.175778063,1,3,2022,2022-07-24,0.069147516,0.020583915,0.711935762,1,"GROW","17_22",-2.74268388831614,-1.68647202018613,1.05621186813002,-2.46519033142726,-1.16022341652169,1.30496691490557,5.12799452429843,-2.53671411531321,-2.21071133213775,0,1
"4","ASC","OCC-ASC-003","POSP","OCC-ASC-003_032",2,2017,2017-06-07,0.001116978,0.000696425,0.105290246,1,3,2022,2022-07-24,0.00421874,0.002244455,0.38081217,3,"GROW","17_22",-3.1571256471366,-2.64888909752346,0.508236549613145,-2.95195538066478,-2.37481723926489,0.577138141399888,5.12799452429843,-3.05801544972806,-2.8394088210565,0,1
"5","ASC","OCC-ASC-003","POSP","OCC-ASC-003_033",2,2017,2017-06-07,0.0012297707,0.00032944,0.089846757,2,3,2022,2022-07-24,0.005111373,0.002647255,0.238987719,1,"GROW","17_22",-3.48222367072604,-2.57720422274894,0.905019447977104,-2.91017585848596,-2.29146242545623,0.618713433029725,5.12799452429843,-3.30573763048385,-2.78952178405237,0,1
"6","ASC","OCC-ASC-003","POSP","OCC-ASC-003_034",2,2017,2017-06-07,0.000731736,0.00048017,0.083154641,1,3,2022,2022-07-24,0.008846472,0.004010165,0.347990676,1,"GROW","17_22",-3.31860497722663,-2.39683775777501,0.92176721945162,-3.13564557799005,-2.05322989273864,1.08241568525141,5.12799452429843,-3.13885298742166,-2.92456585079407,0,1
"7","ASC","OCC-ASC-003","POSP","OCC-ASC-003_035",2,2017,2017-06-07,0.000435756,0.00034329,0.087569508,1,3,2022,2022-07-24,0.0012332728,0.000537645,0.199713087,3,"GROW","17_22",-3.46433884734056,-3.26950438870089,0.194834458639662,-3.3607566243007,-2.90894084681846,0.451815777482235,5.12799452429843,-3.42634456756579,-3.27264892930583,0,1
"8","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_038",2,2017,2017-06-07,0.003529258,0.00228042,0.443155627,5,3,2022,2022-07-24,0.07155154,0.026107015,0.928116512,1,"GROW","17_22",-2.64198515875212,-1.58324278130372,1.0587423774484,-2.45231659216973,-1.14538101450652,1.30693557766321,5.12799452429843,-2.43552191616642,-2.19745368787635,0,1
"9","ASC","OCC-ASC-003","POSP","OCC-ASC-003_065",2,2017,2017-06-07,0.003465675,0.00205738,0.218370715,1,3,2022,2022-07-24,0.048235568,0.02709068,1.096448616,1,"GROW","17_22",-2.68668548630167,-1.56718009365486,1.11950539264681,-2.46021216647049,-1.3166326030563,1.14357956341418,5.12799452429843,-2.46837296912909,-2.23720499319925,0,1
"10","ASC","OCC-ASC-003","POSP","OCC-ASC-003_067",2,2017,2017-06-07,0.032641672,0.015294235,1.830131715,4,3,2022,2022-07-24,0.0300367831,0.01759032,2.093952925,2,"GROW","17_22",-1.81547224104527,-1.75472625986203,0.0607459811832411,-1.48622760354024,-1.52234658154566,-0.0361189780054274,5.12799452429843,-1.80362628822777,-1.49327109351166,0,1
