"","Island","Site","Genus","Site_Genet","TP_ID_STA","Year_STA","TL_Date_STA","TL_Area_STA","TL_Perim_STA","TP_ID_END","Year_END","TL_Date_END","TL_Area_END","TL_Perim_END","TransitionTypeSimple","Interval_Years","l10_Area_STA","l10_Area_END","l10TransitionMagnitude"
"1","MAU","OCC-MAU-002","POSP","OCC-MAU-002_040",1,2014,2014-05-18,322.31,121.6,2,2017,2017-06-05,11.81,18.1,"GROW",3.04996577686516,2.50827378015536,1.07224989761351,-1.43602388254184
"2","MAU","OCC-MAU-002","POSP","OCC-MAU-002_045",1,2014,2014-05-18,408.95,123.8,2,2017,2017-06-05,451.81,141.6,"GROW",3.04996577686516,2.61167021252688,2.6549558390163,0.0432856264894195
"3","MAU","OCC-MAU-002","POSP","OCC-MAU-002_052",1,2014,2014-05-18,104.04,40,2,2017,2017-06-05,79.44,46.4,"GROW",3.04996577686516,2.01720034352384,1.90003923548732,-0.11716110803651
"4","MAU","OCC-MAU-002","POSP","OCC-MAU-002_053",1,2014,2014-05-18,481.24,214,2,2017,2017-06-05,30.33,48.5,"GROW",3.04996577686516,2.68236171812187,1.48187241031066,-1.20048930781121
"5","MAU","OCC-MAU-002","POSP","OCC-MAU-002_056",1,2014,2014-05-18,462.13,231.7,2,2017,2017-06-05,542.51,228,"GROW",3.04996577686516,2.66476416244113,2.73440774787502,0.0696435854338926
"6","MAU","OCC-MAU-002","POSP","OCC-MAU-002_063",1,2014,2014-05-18,197.02,103.5,2,2017,2017-06-05,111.11,106.4,"GROW",3.04996577686516,2.29451031473398,2.04575314759414,-0.248757167139837
"7","MAU","OCC-MAU-002","POSP","OCC-MAU-002_083",1,2014,2014-05-18,1035.29,212.4,2,2017,2017-06-05,971.59,265.6,"GROW",3.04996577686516,3.01506201912484,2.9874830362204,-0.0275789829044384
"8","MAU","OCC-MAU-002","POSP","OCC-MAU-002_103",1,2014,2014-05-18,163.67,63.4,2,2017,2017-06-05,77.14,39.5,"GROW",3.04996577686516,2.2139690824147,1.88727963453002,-0.326689447884676
"9","MAU","OCC-MAU-002","POSP","OCC-MAU-002_106",1,2014,2014-05-18,1991.21,543.9,2,2017,2017-06-05,2017.27,653.3,"GROW",3.04996577686516,3.29911706466417,3.30476402992447,0.00564696526029618
"10","MAU","OCC-MAU-002","POSP","OCC-MAU-002_118",1,2014,2014-05-18,102.01,53.5,2,2017,2017-06-05,89.55,38.8,"GROW",3.04996577686516,2.00864274756529,1.95206559018505,-0.0565771573802349
"11","MAU","OCC-MAU-002","POSP","OCC-MAU-002_121",1,2014,2014-05-18,344.31,134.2,2,2017,2017-06-05,89.15,77.2,"GROW",3.04996577686516,2.53694963636065,1.95012134751137,-0.586828288849272
"12","MAU","OCC-MAU-002","POSP","OCC-MAU-002_128",1,2014,2014-05-18,1386.65,405.2,2,2017,2017-06-05,1291.23,473.3,"GROW",3.04996577686516,3.14196685599011,3.11100360774595,-0.0309632482441615
"13","MAU","OCC-MAU-002","POSP","OCC-MAU-002_129",1,2014,2014-05-18,16.59,19.2,2,2017,2017-06-05,24.45,24.7,"GROW",3.04996577686516,1.21984638602436,1.38827886345964,0.168432477435278
"14","MAU","OCC-MAU-002","POSP","OCC-MAU-002_117",1,2014,2014-05-18,318.96,94.2,2,2017,2017-06-05,106.29,65.7,"GROW",3.04996577686516,2.50373622265434,2.02649240705284,-0.477243815601498
"15","MAU","OCC-MAU-002","POSP","OCC-MAU-002_135",1,2014,2014-05-18,31.67,25.7,2,2017,2017-06-05,61.98,41.2,"GROW",3.04996577686516,1.50064806337191,1.79225157190326,0.291603508531352
"16","MAU","OCC-MAU-002","POSP","OCC-MAU-002_138",1,2014,2014-05-18,701.53,162.7,2,2017,2017-06-05,15.41,15.7,"GROW",3.04996577686516,2.846046247789,1.18780263871842,-1.65824360907058
"17","MAU","OCC-MAU-002","POSP","OCC-MAU-002_139",1,2014,2014-05-18,522.34,143.7,2,2017,2017-06-05,364.29,217.8,"GROW",3.04996577686516,2.71795328471907,2.56144724973649,-0.156506034982578
"18","MAU","OCC-MAU-002","POSP","OCC-MAU-002_143",1,2014,2014-05-18,158.46,100.4,2,2017,2017-06-05,21.63,20.4,"GROW",3.04996577686516,2.19991965159057,1.33505651943909,-0.864863132151476
"19","MAU","OCC-MAU-002","POSP","OCC-MAU-002_151",1,2014,2014-05-18,423.73,110,2,2017,2017-06-05,223.89,99.8,"GROW",3.04996577686516,2.62708921305274,2.35003469634006,-0.277054516712683
"20","MAU","OCC-MAU-002","POSP","OCC-MAU-002_152",1,2014,2014-05-18,12044.85,1175.9,2,2017,2017-06-05,5088.02,2273.6,"GROW",3.04996577686516,4.08080139590116,3.7065488097694,-0.37425258613176
"21","MAU","OCC-MAU-002","POSP","OCC-MAU-002_153",1,2014,2014-05-18,981.94,270,2,2017,2017-06-05,15.56,20.4,"GROW",3.04996577686516,2.99208495167187,1.19200959265367,-1.8000753590182
"22","MAU","OCC-MAU-002","POSP","OCC-MAU-002_154",1,2014,2014-05-18,885.61,143.9,2,2017,2017-06-05,202.6,153.1,"GROW",3.04996577686516,2.94724251180054,2.30663944102426,-0.640603070776282
"23","MAU","OCC-MAU-002","POSP","OCC-MAU-002_155",1,2014,2014-05-18,2.06,5.9,2,2017,2017-06-05,26.96,28.5,"GROW",3.04996577686516,0.313867220369153,1.43071988786328,1.11685266749413
"24","MAU","OCC-MAU-002","POSP","OCC-MAU-002_156",1,2014,2014-05-18,4081.82,734.2,2,2017,2017-06-05,61.87,101.5,"GROW",3.04996577686516,3.61085384929471,1.79148011602,-1.81937373327471
"25","MAU","OCC-MAU-002","POSP","OCC-MAU-002_157",1,2014,2014-05-18,7069.43,1048.3,2,2017,2017-06-05,4423.24,1295.9,"GROW",3.04996577686516,3.84938439854454,3.64574050433634,-0.203643894208199
"26","MAU","OCC-MAU-002","POSP","OCC-MAU-002_158",1,2014,2014-05-18,2.94,7.5,2,2017,2017-06-05,8.29,11.2,"GROW",3.04996577686516,0.468347330412157,0.918554530550273,0.450207200138116
"27","MAU","OCC-MAU-002","POSP","OCC-MAU-002_170",1,2014,2014-05-18,255.02,133.9,2,2017,2017-06-05,141.63,125.3,"GROW",3.04996577686516,2.40657424141055,2.15115525515092,-0.255418986259637
"28","MAU","OCC-MAU-002","POSP","OCC-MAU-002_172",1,2014,2014-05-18,19673.68,1332.4,2,2017,2017-06-05,9795.99,3317.4,"GROW",3.04996577686516,4.29388560314306,3.99104833311386,-0.302837270029194
"29","MAU","OCC-MAU-002","POSP","OCC-MAU-002_171",1,2014,2014-05-18,3160.62,360.7,2,2017,2017-06-05,608.98,431.2,"GROW",3.04996577686516,3.49977228393715,2.78460302985411,-0.715169254083037
"30","MAU","OCC-MAU-002","POSP","OCC-MAU-002_174",1,2014,2014-05-18,1817.89,281.1,2,2017,2017-06-05,447.66,354.1,"GROW",3.04996577686516,3.25956760064705,2.65094829037324,-0.608619310273803
"31","MAU","OCC-MAU-002","POSP","OCC-MAU-002_175",1,2014,2014-05-18,370.76,173.7,2,2017,2017-06-05,641.44,206.7,"GROW",3.04996577686516,2.56909287348666,2.80715603890645,0.238063165419782
"32","MAU","OCC-MAU-002","POSP","OCC-MAU-002_182",1,2014,2014-05-18,1197.1,350.9,2,2017,2017-06-05,1104.1,314.5,"GROW",3.04996577686516,3.07813043080256,3.04300840987995,-0.0351220209226124
"33","MAU","OCC-MAU-002","POSP","OCC-MAU-002_191",1,2014,2014-05-18,33.08,35.5,2,2017,2017-06-05,43.59,29.6,"GROW",3.04996577686516,1.51956550088051,1.63938686901768,0.119821368137175
"34","MAU","OCC-MAU-002","POSP","OCC-MAU-002_190",1,2014,2014-05-18,32919.84,3035.3,2,2017,2017-06-05,13956.71,5176.6,"GROW",3.04996577686516,4.51745771574783,4.14478305458798,-0.372674661159851
