"TL_id","TL_Date","TL_Class","TL_Genet","TL_Cx","TL_Cy","TL_Area","TL_Perim","Morph_Code","Site","Quadrat","TimePt","Annotator","Shape_Leng","Shape_Area","Year","Genet_full","Patch_full","Genus","Region","Island","Latitude","Longitude","Effort","area_perim"
"025",2017-04-10,"ACSP","025",1846.7,11674.2,22.81,19.4,"CB","OCC-BAK-008",12,0,"JC",0.193742971,0.00226332,"2017","OCC-BAK-008_025_2017","OCC-BAK-008_025_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0116820754235259
"026",2017-04-10,"PGRA","026",1736,11080.7,241.12,74.7,"BR","OCC-BAK-008",12,0,"JC",0.746502426,0.02404692,"2017","OCC-BAK-008_026_2017","OCC-BAK-008_026_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0322127821189425
"027",2017-04-10,"ACSP","027",3203.4,8949.6,35.61,23.1,"CB","OCC-BAK-008",7,0,"JC",0.231015051,0.00354022,"2017","OCC-BAK-008_027_2017","OCC-BAK-008_027_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0153246292164747
"028",2017-04-10,"ACSP","028",3096.1,8914.1,15.18,15.3,"CB","OCC-BAK-008",7,0,"JC",0.152630276,0.00150352,"2017","OCC-BAK-008_028_2017","OCC-BAK-008_028_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00985073236714844
"029",2017-04-10,"ACSP","029",3351.9,8797.9,15.4,16.6,"CB","OCC-BAK-008",7,0,"JC",0.165559205,0.00152402,"2017","OCC-BAK-008_029_2017","OCC-BAK-008_029_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00920528701499865
"030",2017-04-10,"ACSP","030",3225.3,8721.1,18.1,17,"CB","OCC-BAK-008",7,0,"JC",0.170144993,0.00179352,"2017","OCC-BAK-008_030_2017","OCC-BAK-008_030_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0105411271197384
"031",2017-04-10,"ACSP","031",3160,8660.8,134.52,48.4,"CB","OCC-BAK-008",7,0,"JC",0.48405163,0.01340952,"2017","OCC-BAK-008_031_2017","OCC-BAK-008_031_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0277026646930205
"032",2017-04-10,"ACSP","032",3048.2,8611.1,3.7,7.7,"CB","OCC-BAK-008",7,0,"JC",0.076890158,0.00036152,"2017","OCC-BAK-008_032_2017","OCC-BAK-008_032_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00470177210456506
"033",2017-04-10,"ACSP","030",3061.2,8731,31.86,24.1,"CB","OCC-BAK-008",7,0,"JC",0.241500332,0.00316442,"2017","OCC-BAK-008_030_2017","OCC-BAK-008_033_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0131031703923289
"034",2017-04-10,"ACSP","033",2899.7,8570.1,5.8,10.7,"CB","OCC-BAK-008",7,0,"JC",0.106547013,0.00056872,"2017","OCC-BAK-008_033_2017","OCC-BAK-008_034_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00533773762386
"035",2017-04-10,"PGRA","034",2892.5,8730.3,152.41,68.1,"BR","OCC-BAK-008",7,0,"JC",0.681105457,0.01518072,"2017","OCC-BAK-008_034_2017","OCC-BAK-008_035_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0222883546798539
"036",2017-04-10,"ACSP","035",2912,9235.6,2.67,6.8,"CB","OCC-BAK-008",7,0,"JC",0.068304372,0.00025942,"2017","OCC-BAK-008_035_2017","OCC-BAK-008_036_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00379799992890645
"037",2017-04-10,"ACSP","036",3127.7,7875.8,16.91,17,"CB","OCC-BAK-008",18,0,"JC",0.170044488,0.00167582,"2017","OCC-BAK-008_036_2017","OCC-BAK-008_037_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00985518566176635
"038",2017-04-10,"ACSP","037",3397.6,7716.6,16.82,23.4,"CB","OCC-BAK-008",18,0,"JC",0.233985611,0.00166142,"2017","OCC-BAK-008_037_2017","OCC-BAK-008_038_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00710052209150587
"039",2017-04-10,"ACSP","038",3580.2,7322.3,12.91,15.6,"CB","OCC-BAK-008",18,0,"JC",0.156287128,0.00127632,"2017","OCC-BAK-008_038_2017","OCC-BAK-008_039_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00816650748102556
"040",2017-04-10,"ACSP","039",3624.9,7196.2,40.97,27.8,"CB","OCC-BAK-008",18,0,"JC",0.278027242,0.00407272,"2017","OCC-BAK-008_039_2017","OCC-BAK-008_040_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0146486364814567
"041",2017-04-10,"POCS","040",2710.5,6408.1,49.94,28,"BR","OCC-BAK-008",1,0,"JC",0.280328761,0.00496762,"2017","OCC-BAK-008_040_2017","OCC-BAK-008_041_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0177206933112368
"042",2017-04-10,"POCS","041",2861,6431.3,162.63,67.2,"BR","OCC-BAK-008",1,0,"JC",0.672034381,0.01620342,"2017","OCC-BAK-008_041_2017","OCC-BAK-008_042_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0241109985710686
"043",2017-04-10,"PGRA","042",2732.9,6259.9,425.26,142.7,"BR","OCC-BAK-008",1,0,"JC",1.427227382,0.04240312,"2017","OCC-BAK-008_042_2017","OCC-BAK-008_043_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0297101362647483
"044",2017-04-10,"PMEA","043",3900.5,6020,7.19,10.3,"BR","OCC-BAK-008",15,0,"JC",0.102789653,0.00070822,"2017","OCC-BAK-008_043_2017","OCC-BAK-008_044_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.00688999310076472
"045",2017-04-10,"ACSP","044",3928.8,5876,172.81,66.8,"CB","OCC-BAK-008",15,0,"JC",0.668277021,0.01722192,"2017","OCC-BAK-008_044_2017","OCC-BAK-008_045_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0257706302309024
"046",2017-04-10,"PGRA","045",3682.6,5772,140.59,90.9,"BR","OCC-BAK-008",15,0,"JC",0.909171465,0.01397902,"2017","OCC-BAK-008_045_2017","OCC-BAK-008_046_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0153755595486051
"047",2017-04-10,"ACSP","046",1649.8,4081.7,10.4,12.5,"CB","OCC-BAK-008",9,0,"JC",0.124931788,0.00102742,"2017","OCC-BAK-008_046_2017","OCC-BAK-008_047_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00822384772080585
"048",2017-04-10,"ACSP","047",1054.8,4210.2,1237.39,225.7,"TB","OCC-BAK-008",9,0,"JC",2.256575479,0.1235533,"2017","OCC-BAK-008_047_2017","OCC-BAK-008_048_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0547525669536889
"049",2017-04-10,"ACSP","048",4260.7,3175.7,61.73,31.2,"CB","OCC-BAK-008",20,0,"JC",0.311725729,0.00614622,"2017","OCC-BAK-008_048_2017","OCC-BAK-008_049_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0197167555585378
"050",2017-04-10,"PGRA","049",8328.6,1781.6,15.63,18.8,"BR","OCC-BAK-008",19,0,"JC",0.188186626,0.00154542,"2017","OCC-BAK-008_049_2017","OCC-BAK-008_050_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.00821216700064541
"051",2017-04-10,"PGRA","050",8286.1,1711.6,6.18,10,"BR","OCC-BAK-008",19,0,"JC",0.10044651,0.00060762,"2017","OCC-BAK-008_050_2017","OCC-BAK-008_051_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.00604918976279017
"052",2017-04-10,"MOSP","051",8948.7,1896.2,166.85,107.2,"FO","OCC-BAK-008",21,0,"JC",1.071985514,0.0165968,"2017","OCC-BAK-008_051_2017","OCC-BAK-008_052_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0154822987654663
"053",2017-04-10,"MOSP","052",8957.5,2049.4,20.06,19.1,"FO","OCC-BAK-008",21,0,"JC",0.191115557,0.00198792,"2017","OCC-BAK-008_052_2017","OCC-BAK-008_053_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0104016649989409
"054",2017-04-10,"MOSP","053",8989.4,1821.9,86.75,55.4,"FO","OCC-BAK-008",21,0,"JC",0.55389225,0.00862682,"2017","OCC-BAK-008_053_2017","OCC-BAK-008_054_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0155749064912896
"055",2017-04-10,"PGRA","054",9126.1,1931.7,34.64,31.2,"BR","OCC-BAK-008",21,0,"JC",0.312328759,0.00343242,"2017","OCC-BAK-008_054_2017","OCC-BAK-008_055_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.010989766075304
"056",2017-04-10,"PGRA","055",9202.8,1905.7,3.56,7.9,"BR","OCC-BAK-008",21,0,"JC",0.07868915,0.00034792,"2017","OCC-BAK-008_055_2017","OCC-BAK-008_056_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.00442144819203156
"057",2017-04-10,"PGRA","056",9235.8,1911.4,4.75,9,"BR","OCC-BAK-008",21,0,"JC",0.089860722,0.00046572,"2017","OCC-BAK-008_056_2017","OCC-BAK-008_057_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.00518268704762911
"058",2017-04-10,"PGRA","057",9219.7,1735.7,662.08,172.9,"BR","OCC-BAK-008",21,0,"JC",1.729470032,0.06605502,"2017","OCC-BAK-008_057_2017","OCC-BAK-008_058_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0381937927676101
"059",2017-04-10,"ACSP","058",9538.8,1567.1,377,113.4,"TB","OCC-BAK-008",21,0,"JC",1.134249684,0.03760182,"2017","OCC-BAK-008_058_2017","OCC-BAK-008_059_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0331512721849698
"060",2017-04-10,"POCS","059",10502.3,6575.4,100.42,59,"BR","OCC-BAK-008",3,0,"JC",0.590093267,0.00998962,"2017","OCC-BAK-008_059_2017","OCC-BAK-008_060_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0169288832099147
"061",2017-04-10,"POCS","060",10569.4,6467.2,149.8,72.4,"BR","OCC-BAK-008",3,0,"JC",0.723816135,0.01491752,"2017","OCC-BAK-008_060_2017","OCC-BAK-008_061_2017","POCS","PRIA","BAK",0.188409,-176.479919,12.5,0.0206095433338192
"063",2017-04-10,"MOSP","061",8561.2,8561.6,29.35,30.5,"EM","OCC-BAK-008",0,0,"JC",0.305483086,0.00290772,"2017","OCC-BAK-008_061_2017","OCC-BAK-008_063_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00951843206140716
"064",2017-04-10,"ACSP","062",8515.1,8529.4,8.28,12.5,"CB","OCC-BAK-008",0,0,"JC",0.124831285,0.00081572,"2017","OCC-BAK-008_062_2017","OCC-BAK-008_064_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00653457985311935
"065",2017-04-10,"ACSP","063",6710.1,10276.3,8.3,11.1,"CB","OCC-BAK-008",10,0,"JC",0.110689147,0.00081872,"2017","OCC-BAK-008_063_2017","OCC-BAK-008_065_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00739656978294358
"066",2017-04-10,"ACSP","064",6598.4,10363.3,72.85,38.2,"CB","OCC-BAK-008",10,0,"JC",0.381808991,0.00725162,"2017","OCC-BAK-008_064_2017","OCC-BAK-008_066_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0189927952744308
"067",2017-04-10,"MOSP","065",6470.7,9973.7,13.98,15,"EM","OCC-BAK-008",10,0,"JC",0.150387636,0.00138362,"2017","OCC-BAK-008_065_2017","OCC-BAK-008_067_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00920035740172151
"068",2017-04-10,"MOSP","066",5928.2,8749.1,17.47,19.2,"EM","OCC-BAK-008",24,0,"JC",0.192186622,0.00173002,"2017","OCC-BAK-008_066_2017","OCC-BAK-008_068_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00900177120549005
"069",2017-04-10,"ACSP","067",5723.4,8795.7,10.57,12.8,"CB","OCC-BAK-008",24,0,"JC",0.128488139,0.00104452,"2017","OCC-BAK-008_067_2017","OCC-BAK-008_069_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00812931067512776
"070",2017-04-10,"ACSP","067",5764.4,8771.5,4.39,8.6,"CB","OCC-BAK-008",24,0,"JC",0.085618083,0.00043002,"2017","OCC-BAK-008_067_2017","OCC-BAK-008_070_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00502253711987455
"071",2017-04-10,"ACSP","067",5789.9,8754.4,2.67,6.3,"CB","OCC-BAK-008",24,0,"JC",0.062890159,0.00025992,"2017","OCC-BAK-008_067_2017","OCC-BAK-008_071_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00413292006464795
"072",2017-04-10,"ACSP","067",5780.5,8721.2,13.51,14.4,"CB","OCC-BAK-008",24,0,"JC",0.144002857,0.00133672,"2017","OCC-BAK-008_067_2017","OCC-BAK-008_072_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00928259360854209
"073",2017-04-10,"ACSP","068",5805,8646.6,14.34,18,"CB","OCC-BAK-008",24,0,"JC",0.17970134,0.00141702,"2017","OCC-BAK-008_068_2017","OCC-BAK-008_073_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00788541699243868
"074",2017-04-10,"ACSP","069",5884.3,8449.9,5.55,11.4,"CB","OCC-BAK-008",24,0,"JC",0.113902351,0.00054402,"2017","OCC-BAK-008_069_2017","OCC-BAK-008_074_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00477619641055521
"075",2017-04-10,"MOSP","070",6100.8,8208.3,350.36,119.5,"EM","OCC-BAK-008",24,0,"JC",1.195019236,0.03493282,"2017","OCC-BAK-008_070_2017","OCC-BAK-008_075_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0292320148058269
"076",2017-04-10,"MOSP","070",6017.2,8216.9,24.4,21.3,"EM","OCC-BAK-008",24,0,"JC",0.213458703,0.00241952,"2017","OCC-BAK-008_070_2017","OCC-BAK-008_076_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0113348388517099
"077",2017-04-10,"MOSP","070",6065.9,8227.9,2.54,6.6,"EM","OCC-BAK-008",24,0,"JC",0.065819092,0.00024642,"2017","OCC-BAK-008_070_2017","OCC-BAK-008_077_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00374389850288424
"078",2017-04-10,"MOSP","071",5710.3,8465.1,16.37,17.8,"EM","OCC-BAK-008",24,0,"JC",0.177559204,0.00161982,"2017","OCC-BAK-008_071_2017","OCC-BAK-008_078_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00912270365888777
"079",2017-04-10,"ACSP","072",5504,8475.8,42.01,27.2,"CB","OCC-BAK-008",24,0,"JC",0.272228254,0.00417672,"2017","OCC-BAK-008_072_2017","OCC-BAK-008_079_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0153427131042761
"080",2017-04-10,"ACSP","073",5090.8,6591.8,27.62,21.2,"CB","OCC-BAK-008",4,0,"JC",0.212228253,0.00274272,"2017","OCC-BAK-008_073_2017","OCC-BAK-008_080_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0129234442692227
"081",2017-04-10,"ACSP","074",6662.9,6361.3,53.59,34.8,"CB","OCC-BAK-008",8,0,"JC",0.348311509,0.00532852,"2017","OCC-BAK-008_074_2017","OCC-BAK-008_081_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0152981450865581
"082",2017-04-10,"ACSP","075",6756.4,5998,50.72,31,"CB","OCC-BAK-008",8,0,"JC",0.309926736,0.00504482,"2017","OCC-BAK-008_075_2017","OCC-BAK-008_082_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0162774598445744
"083",2017-04-10,"ACSP","076",6636.8,6059.1,18.63,18.3,"CB","OCC-BAK-008",8,0,"JC",0.182872918,0.00184562,"2017","OCC-BAK-008_076_2017","OCC-BAK-008_083_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0100923637036294
"084",2017-04-10,"ACSP","077",6679.3,6049.1,5.71,9.8,"CB","OCC-BAK-008",8,0,"JC",0.098103359,0.00056102,"2017","OCC-BAK-008_077_2017","OCC-BAK-008_084_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00571866249758074
"087",2017-04-10,"ACSP","080",6412.3,6082.1,36.64,25.7,"CB","OCC-BAK-008",8,0,"JC",0.256613027,0.00364082,"2017","OCC-BAK-008_080_2017","OCC-BAK-008_087_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0141879780717446
"088",2017-04-10,"ACSP","081",6213.7,6012.6,11.51,18.1,"CB","OCC-BAK-008",8,0,"JC",0.18111556,0.00113492,"2017","OCC-BAK-008_081_2017","OCC-BAK-008_088_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.00626627552044672
"096",2017-04-10,"ACSP","082",3562.4,11583,73.89,36.2,"TB","OCC-BAK-008",-99,0,"JC",0.362554157,0.00735622,"2017","OCC-BAK-008_082_2017","OCC-BAK-008_096_2017","ACSP","PRIA","BAK",0.188409,-176.479919,136.6,0.020289989393226
"097",2017-04-10,"MOSP","083",3915.5,11271.4,38.58,27.7,"EM","OCC-BAK-008",-99,0,"JC",0.276914546,0.00383192,"2017","OCC-BAK-008_083_2017","OCC-BAK-008_097_2017","MOSP","PRIA","BAK",0.188409,-176.479919,136.6,0.0138379151812415
