OID_,TL_id,TL_Date,TL_Class,TL_Genet,TL_Cx,TL_Cy,TL_Area,TL_SurfA,TL_Perim,TL_Note,Morph_Code,Site,Quadrat,TimePt,Annotator,QC_Check,Shape_Leng,Shape_Area
0,25,5/18/2014,PMEA,25,11080.8,6440.7,384.24,0,111.6, ,BR,OCC-MAU-002,0,0,JC, ,1.133754703,0.03956109
1,26,5/18/2014,PLOB,26,11168.8,6280.1,2.42,0,6.1, ,EM,OCC-MAU-002,0,0,JC, ,0.062121975,0.000242995
2,27,5/18/2014,PLOB,27,11204.9,6393.5,28.16,0,40.4, ,MD,OCC-MAU-002,0,0,JC, ,0.410774204,0.00286963
3,28,5/18/2014,PMEA,28,11442.5,6447.2,163.74,0,102.4, ,BR,OCC-MAU-002,0,0,JC, ,1.040895013,0.016812735
4,29,5/18/2014,PLOB,29,11322.8,6545.5,63.37,0,54.5, ,MD,OCC-MAU-002,0,0,JC, ,0.554421959,0.00649054
5,30,5/18/2014,PLOB,30,11279.7,6547.6,3.03,0,7.6, ,MD,OCC-MAU-002,0,0,JC, ,0.0771752,0.00030325
6,31,5/18/2014,PLOB,31,11401.5,6595.4,46.6,0,55.9, ,MD,OCC-MAU-002,0,0,JC, ,0.568275972,0.00476244
7,32,5/18/2014,PLOB,32,11465.8,6605.3,9.06,0,13.8, ,MD,OCC-MAU-002,0,0,JC, ,0.139926482,0.000921275
8,33,5/18/2014,PLOB,33,11388.5,6780.3,19.16,0,32.5, ,MD,OCC-MAU-002,0,0,JC, ,0.330791847,0.0019458
9,34,5/18/2014,PMEA,34,10749.8,6665.8,156.27,0,66.5, ,BR,OCC-MAU-002,0,0,JC, ,0.675783405,0.01607302
10,35,5/18/2014,PMEA,35,10887,6650.2,266.92,0,95.2, ,BR,OCC-MAU-002,0,0,JC, ,0.967556224,0.02746621
11,36,5/18/2014,POSP,36,11082.4,6751.8,47.47,0,41.8, ,EM,OCC-MAU-002,0,0,JC, ,0.424868518,0.004863645
12,37,5/18/2014,POSP,37,11110,6712.8,5.55,0,10.1, ,EM,OCC-MAU-002,0,0,JC, ,0.102697417,0.00056203
13,38,5/18/2014,POSP,38,10993.2,6745,3.91,0,8.4, ,EM,OCC-MAU-002,0,0,JC, ,0.085422661,0.0003953
14,39,5/18/2014,POSP,39,11012.1,6740.4,3.42,0,8.5, ,EM,OCC-MAU-002,0,0,JC, ,0.086159873,0.00034364
15,41,5/18/2014,PLUT,41,8541.9,8499.2,22.05,0,19.7, ,MD,OCC-MAU-002,1,0,JC, ,0.200430898,0.002256615
16,40,5/18/2014,PLUT,40,8640.5,8494.1,322.31,0,121.6, ,MD,OCC-MAU-002,1,0,JC, ,1.235329671,0.03319168
17,42,5/18/2014,PLUT,42,8776.4,8443.3,15.83,0,15.6, ,MD,OCC-MAU-002,1,0,JC, ,0.158533887,0.001619785
18,43,5/18/2014,PLOB,43,8889.6,9088.9,2.09,0,6.5, ,MD,OCC-MAU-002,1,0,JC, ,0.066372057,0.00020748
19,44,5/18/2014,PLUT,44,8906.4,9045.2,6.85,0,10.8, ,MD,OCC-MAU-002,1,0,JC, ,0.110109637,0.00069626
20,45,5/18/2014,PLUT,45,8687,9029.9,408.95,0,123.8, ,MD,OCC-MAU-002,1,0,JC, ,1.257658842,0.042104695
21,46,5/18/2014,PLUT,46,8514.1,8853.1,9.06,0,13.7, ,MD,OCC-MAU-002,1,0,JC, ,0.139407193,0.00092039
22,47,5/18/2014,PLUT,47,8551.1,8830.3,19.04,0,18.4, ,MD,OCC-MAU-002,1,0,JC, ,0.187143091,0.00194517
23,48,5/18/2014,PLUT,48,8517.2,8742.1,80.81,0,48.3, ,MD,OCC-MAU-002,1,0,JC, ,0.49115845,0.0083022
24,49,5/18/2014,MOSP,49,10017.8,7398.1,11.13,0,17.3, ,EM,OCC-MAU-002,2,0,JC, ,0.175724178,0.00113205
25,50,5/18/2014,PLOB,50,10690,2826.8,13.32,0,14.7, ,MD,OCC-MAU-002,3,0,JC, ,0.149496944,0.0013615
26,51,5/18/2014,PLOB,51,10707,2859.3,5.17,0,10.2, ,MD,OCC-MAU-002,3,0,JC, ,0.103458963,0.00052408
27,52,5/18/2014,PLOB,52,10595.9,3146.4,104.04,0,40, ,MD,OCC-MAU-002,3,0,JC, ,0.405967373,0.0107018
28,54,5/18/2014,PLOB,54,10454.2,2862.2,2.45,0,6.5, ,MD,OCC-MAU-002,3,0,JC, ,0.066342552,0.000245905
29,55,5/18/2014,PMEA,55,11023,3100.7,10.94,0,14.2, ,BR,OCC-MAU-002,3,0,JC, ,0.14447206,0.00111629
30,53,5/18/2014,PLOB,53,10478.6,2941,481.24,0,214, ,MD,OCC-MAU-002,3,0,JC, ,2.174756202,0.049521875
31,56,5/18/2014,PLOB,56,10808.4,3231.8,462.13,0,231.7, ,MD,OCC-MAU-002,3,0,JC, ,2.354676097,0.047504845
32,57,5/18/2014,PLOB,57,8982.3,2957.3,2.58,0,6.1, ,MD,OCC-MAU-002,4,0,JC, ,0.0616663,0.00025948
33,58,5/18/2014,PMEA,58,9021,3082.6,205.83,0,78, ,BR,OCC-MAU-002,4,0,JC, ,0.792047718,0.02118144
34,59,5/18/2014,PMEA,59,9222.5,2993.8,15.62,0,15.6, ,BR,OCC-MAU-002,4,0,JC, ,0.158871371,0.00159677
35,60,5/18/2014,PMEA,60,9290.2,3128.9,17.35,0,18.2, ,BR,OCC-MAU-002,4,0,JC, ,0.184629388,0.00177414
36,61,5/18/2014,PMEA,61,9316.8,3221.2,183.99,0,64.9, ,BR,OCC-MAU-002,4,0,JC, ,0.65887696,0.01893461
