"Site","Island","Island_Code","Latitude","Longitude","Date","DataorError","Error_Category","ColonyName","Spec_Code","Genus","Genus_Code","Shape_Length","Shape_Area","Surface_Area","nPatches"
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_025_0","POSP","Porites sp.","POSP",0.094064914,0.000413125,0.001330422,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_026_0","ACSP","Acropora sp.","ACSP",8.988283623,0.648596595,1.693021671,2
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_028_0","ACSP","Acropora sp.","ACSP",1.837386411,0.031158295,0.05989622,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_029_0","PLOB","Porites sp.","POSP",0.439256651,0.00860928,0.013171194,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_027_0","ACSP","Acropora sp.","ACSP",2.978804586,0.31982917,0.540968336,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_030_0","POSP","Porites sp.","POSP",0.511996485,0.015586525,0.019239332,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_031_0","ACSP","Acropora sp.","ACSP",0.680484763,0.01864932,0.048638646,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_032_0","ACSP","Acropora sp.","ACSP",1.354297659,0.061711595,0.159393378,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_033_0","POSP","Porites sp.","POSP",0.602795933,0.014130835,0.044892735,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_034_0","PGRA","Pocillopora sp.","POCS",0.628967441,0.01688589,0.049418068,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_036_0","POSP","Porites sp.","POSP",0.864027896,0.019598875,0.046526296,1
