uniqueID,Site_Genet,Site,Island,Genus_Code,StartingDate,EndingDate,StartingPerim,EndingPerim,StartingSize,EndingSize,N_t0,N_t1
FFS014_1309-1609_POSP_00530,FFS_OCC_014_00530,OCC-FFS-014,FFS,POSP,9/6/2013,9/2/2016,2218.896548,1807.507986,4589.026147,6421.621299,28,8
FFS014_1609-1908_POSP_00530,FFS_OCC_014_00530,OCC-FFS-014,FFS,POSP,9/2/2016,8/27/2019,2565.743212,4488.474762,12989.7304,7788.9287,1,84
FFS014_1309-1609_POSP_00534,FFS_OCC_014_00534,OCC-FFS-014,FFS,POSP,9/6/2013,9/2/2016,6687.624211,6744.401354,17833.73045,20037.99165,42,25
FFS014_1609-1908_POSP_00534,FFS_OCC_014_00534,OCC-FFS-014,FFS,POSP,9/2/2016,8/27/2019,43.56800166,30.86276625,65.72925012,34.18910016,1,1
HAWK10_1504-1704_POSP_01880,HAW_SIO_K10_01880,SIO-HAW-K10,HAW,POSP,4/15/2015,4/8/2017,61.7646817,28.2017476,127.87505,21.2653,1,2
HAWK10_1704-1907_POSP_01880,HAW_SIO_K10_01880,SIO-HAW-K10,HAW,POSP,4/8/2017,7/17/2019,17.1237152,13.4906494,12.0937,10.8509,1,1
LIS005_1309-1609_POSP_02142,LIS_OCC_005_02142,OCC-LIS-005,LIS,POSP,9/12/2013,9/18/2016,29.58408361,30.2150821,28.13154999,22.45709967,1,2
LIS005_1309-1908_POSP_02142,LIS_OCC_005_02142,OCC-LIS-005,LIS,POSP,9/12/2013,8/30/2019,29.58408361,11.51882371,28.13154999,6.569250149,1,1
LIS005_1609-1908_POSP_02142,LIS_OCC_005_02142,OCC-LIS-005,LIS,POSP,9/18/2016,8/30/2019,30.2150821,52.90133368,22.45709967,45.91040009,2,2
MAIK01_1407-1507_MOSP_02396,MAI_SIO_K01_02396,SIO-MAI-K01,MAI,MOSP,7/21/2014,7/10/2015,698.4808287,696.1409598,628.2522716,660.4162727,15,13
MAIK01_1507-1511_MOSP_02396,MAI_SIO_K01_02396,SIO-MAI-K01,MAI,MOSP,7/10/2015,11/2/2015,696.1409598,647.7467894,660.4162727,705.5948193,13,11
MAIK01_1511-1606_MOSP_02396,MAI_SIO_K01_02396,SIO-MAI-K01,MAI,MOSP,11/2/2015,6/16/2016,642.2256002,580.5961349,704.1332306,806.6530433,10,8
MAIK01_1606-1611_MOSP_02396,MAI_SIO_K01_02396,SIO-MAI-K01,MAI,MOSP,6/16/2016,11/30/2016,580.5961349,495.5136721,806.6530433,878.7792945,8,9
MAIK01_1611-1707_MOSP_02396,MAI_SIO_K01_02396,SIO-MAI-K01,MAI,MOSP,11/30/2016,7/28/2017,496.0496774,399.8808922,884.5806482,810.3637581,9,8
