"uniqueID","Site_Genet","Site","Island","Genus_Code","StartingDate","EndingDate","StartingPerim","EndingPerim","StartingSize","EndingSize","N_t0","N_t1"
"FFS014_1309-1609_MOSP_00506","FFS_OCC_014_00506","OCC-FFS-014","OCC","MOSP",2013-09-06,2016-09-02,46.4103721279,52.3793916888,115.595649372,135.734099984,1,1
"FFS014_1309-1609_MOSP_00507","FFS_OCC_014_00507","OCC-FFS-014","OCC","MOSP",2013-09-06,2016-09-02,11.9003606991,10.5857811933,8.65925001402,7.54405001053,1,1
"FFS014_1309-1609_MOSP_00508","FFS_OCC_014_00508","OCC-FFS-014","OCC","MOSP",2013-09-06,2016-09-02,25.6175821456,27.76251583207,24.1497999185,16.82765014275,1,2
"FFS014_1309-1609_POSP_00509","FFS_OCC_014_00509","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,18.3368974892,0,19.155149933,0,1,1
"FFS014_1309-1609_POSP_00510","FFS_OCC_014_00510","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,13.6095576454,53.0432785756,12.8875500812,125.77484995,1,1
"FFS014_1309-1609_POSP_00511","FFS_OCC_014_00511","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,18.1412448426,0,19.6294499541,0,1,1
"FFS014_1309-1609_POSP_00512","FFS_OCC_014_00512","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,15.8053147633,0,17.5819501709,0,1,1
"FFS014_1309-1609_POSP_00513","FFS_OCC_014_00513","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,1676.85774282156,1472.04734950787,4479.12724973372,4738.6893484268,10,6
"FFS014_1309-1609_POSP_00514","FFS_OCC_014_00514","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,25.8769179556,17.9220833961,27.3708999497,13.6524001993,1,1
"FFS014_1309-1609_POSP_00515","FFS_OCC_014_00515","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,10.3001678656,0,6.75794988405,0,1,1
"FFS014_1309-1609_POSP_00516","FFS_OCC_014_00516","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,26.6729321771,13.9717568405,32.8025998325,14.2160498192,1,1
"FFS014_1309-1609_POSP_00517","FFS_OCC_014_00517","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,49.00825357731,40.8834506466,87.59380036865,69.9713999198,2,1
"FFS014_1309-1609_POSP_00518","FFS_OCC_014_00518","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,5.72698816539,0,2.0506499271,0,1,1
"FFS014_1309-1609_POSP_00519","FFS_OCC_014_00519","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,24.9937227177,12.3381835216,36.4992999633,11.0657000492,1,1
"FFS014_1309-1609_POSP_00520","FFS_OCC_014_00520","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,65.3322556403,56.9156928644,75.1501506,53.6281502202,2,3
"FFS014_1309-1609_POSP_00521","FFS_OCC_014_00521","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,26.7588460373,21.7046591388,40.527349902,30.6608002998,1,1
"FFS014_1309-1609_POSP_00522","FFS_OCC_014_00522","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,9860.95959737182,11292.1165923397,38568.4883470686,33404.1099442783,28,58
"FFS014_1309-1609_POSP_00523","FFS_OCC_014_00523","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,35.4289716133,31.393196432,37.0901502935,47.0821998609,1,1
"FFS014_1309-1609_POSP_00524","FFS_OCC_014_00524","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,14.2046022343,11.2946531621,14.5342498706,7.17994990598,1,1
"FFS014_1309-1609_POSP_00525","FFS_OCC_014_00525","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,10.0623314297,0,7.36765011484,0,1,1
"FFS014_1309-1609_POSP_00526","FFS_OCC_014_00526","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,15.57744776922,7.94662455465,9.39880005279,4.44569996981,2,1
"FFS014_1309-1609_POSP_00527","FFS_OCC_014_00527","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,121.30550911662,62.7217144832,105.00834999163,101.0299496472,6,2
"FFS014_1309-1609_POSP_00528","FFS_OCC_014_00528","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,36.1324317015,44.0492262488,43.4819000415,53.8847495618,1,2
"FFS014_1309-1609_POSP_00529","FFS_OCC_014_00529","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,135.88030270949,125.1237477257,247.62239981785,271.19219937197,2,3
"FFS014_1309-1609_POSP_00530","FFS_OCC_014_00530","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,2218.89654795754,1807.50798643958,4589.02614702669,6421.62129863256,28,8
"FFS014_1309-1609_POSP_00531","FFS_OCC_014_00531","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,6.44339228772,7.81457021269,2.69435009268,4.29154990959,1,1
"FFS014_1309-1609_POSP_00532","FFS_OCC_014_00532","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,14.9583803692,16.6569109356,15.7469000934,19.8275503796,1,1
"FFS014_1309-1609_POSP_00533","FFS_OCC_014_00533","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,27.1068761123,36.5591961836,41.7431500149,44.4319000358,1,1
"FFS014_1309-1609_POSP_00534","FFS_OCC_014_00534","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,6687.62421129839,6744.40135356261,17833.7304501589,20037.9916496681,42,25
"FFS014_1309-1609_POSP_00535","FFS_OCC_014_00535","OCC-FFS-014","OCC","POSP",2013-09-06,2016-09-02,10.869331568,12.3698349141,7.97269986039,10.0294999221,1,1
"FFS014_1309-1609_MOSP_00536","FFS_OCC_014_00536","OCC-FFS-014","OCC","MOSP",2013-09-06,2016-09-02,16.7938099817,13.9690278291,17.0829504726,13.7661002098,1,1
"FFS014_1309-1609_MOSP_00537","FFS_OCC_014_00537","OCC-FFS-014","OCC","MOSP",2013-09-06,2016-09-02,35.2595770088,28.4463528958,43.6425995779,44.6097996856,1,1
