"Island","Site","Genus_Code","Site_Genet","Year_STA","Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","Year_END","Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","Interval_Years","Mortality","Survival"
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00506",2013,2013-09-06,NA,115.595649372,46.4103721279,1,2016,2016-09-02,NA,135.734099984,52.3793916888,1,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00507",2013,2013-09-06,NA,8.65925001402,11.9003606991,1,2016,2016-09-02,NA,7.54405001053,10.5857811933,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00508",2013,2013-09-06,NA,24.1497999185,25.6175821456,1,2016,2016-09-02,NA,16.82765014275,27.76251583207,2,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00509",2013,2013-09-06,NA,19.155149933,18.3368974892,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00510",2013,2013-09-06,NA,12.8875500812,13.6095576454,1,2016,2016-09-02,NA,125.77484995,53.0432785756,1,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00511",2013,2013-09-06,NA,19.6294499541,18.1412448426,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00512",2013,2013-09-06,NA,17.5819501709,15.8053147633,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00513",2013,2013-09-06,NA,4479.12724973372,1676.85774282156,10,2016,2016-09-02,NA,4738.6893484268,1472.04734950787,6,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00514",2013,2013-09-06,NA,27.3708999497,25.8769179556,1,2016,2016-09-02,NA,13.6524001993,17.9220833961,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00515",2013,2013-09-06,NA,6.75794988405,10.3001678656,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00516",2013,2013-09-06,NA,32.8025998325,26.6729321771,1,2016,2016-09-02,NA,14.2160498192,13.9717568405,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00517",2013,2013-09-06,NA,87.59380036865,49.00825357731,2,2016,2016-09-02,NA,69.9713999198,40.8834506466,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00518",2013,2013-09-06,NA,2.0506499271,5.72698816539,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00519",2013,2013-09-06,NA,36.4992999633,24.9937227177,1,2016,2016-09-02,NA,11.0657000492,12.3381835216,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00520",2013,2013-09-06,NA,75.1501506,65.3322556403,2,2016,2016-09-02,NA,53.6281502202,56.9156928644,3,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00521",2013,2013-09-06,NA,40.527349902,26.7588460373,1,2016,2016-09-02,NA,30.6608002998,21.7046591388,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00522",2013,2013-09-06,NA,38568.4883470686,9860.95959737182,28,2016,2016-09-02,NA,33404.1099442783,11292.1165923397,58,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00523",2013,2013-09-06,NA,37.0901502935,35.4289716133,1,2016,2016-09-02,NA,47.0821998609,31.393196432,1,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00524",2013,2013-09-06,NA,14.5342498706,14.2046022343,1,2016,2016-09-02,NA,7.17994990598,11.2946531621,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00525",2013,2013-09-06,NA,7.36765011484,10.0623314297,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00526",2013,2013-09-06,NA,9.39880005279,15.57744776922,2,2016,2016-09-02,NA,4.44569996981,7.94662455465,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00527",2013,2013-09-06,NA,105.00834999163,121.30550911662,6,2016,2016-09-02,NA,101.0299496472,62.7217144832,2,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00528",2013,2013-09-06,NA,43.4819000415,36.1324317015,1,2016,2016-09-02,NA,53.8847495618,44.0492262488,2,"GROWTH","13_16",2.98973305954825,0,1
