"","Island","Site","Genus","Site_Genet","TimePt_STA","TP_ID_STA","Year_STA","TL_Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TimePt_END","TP_ID_END","Year_END","TL_Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_Surface_Area_STA","l10_Surface_Area_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_Surface_Area_ENDann","Mortality","Survival"
"1","FFS","OCC-FFS-002","MOSP","OCC-FFS-002_026",0,1,2013,2013-09-08,0.00111963,0.00074862,0.113760217,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-3.12573857453176,-Inf,-Inf,-2.95092547331779,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"2","FFS","OCC-FFS-002","POSP","OCC-FFS-002_027",0,1,2013,2013-09-08,0.000497268,0.00023692,0.065375442,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-3.62539827603109,-Inf,-Inf,-3.30340948742085,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"3","FFS","OCC-FFS-002","POSP","OCC-FFS-002_028",0,1,2013,2013-09-08,0.001232707,0.00049022,0.116103363,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-3.30960897437229,-Inf,-Inf,-2.90914013784442,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"4","FFS","OCC-FFS-002","POSP","OCC-FFS-002_029",0,1,2013,2013-09-08,0.001364158,0.00054122,0.107760216,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-3.26662616305529,-Inf,-Inf,-2.86513532575417,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"5","FFS","OCC-FFS-002","POSP","OCC-FFS-002_030",0,1,2013,2013-09-08,0.001999888,0.00071052,0.129316564,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-3.14842369287038,-Inf,-Inf,-2.698994325508,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"6","FFS","OCC-FFS-002","POSP","OCC-FFS-002_031",0,1,2013,2013-09-08,0.006179862,0.00276252,0.276713536,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-2.55869456910477,-Inf,-Inf,-2.20902122285741,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"7","FFS","OCC-FFS-002","POSP","OCC-FFS-002_032",0,1,2013,2013-09-08,0.001713107,0.00105102,0.147216059,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-2.97838901964541,-Inf,-Inf,-2.76621551032211,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"8","FFS","OCC-FFS-002","POSP","OCC-FFS-002_033",0,1,2013,2013-09-08,0.000230906,0.00013502,0.047333811,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-3.8696018963472,-Inf,-Inf,-3.6365647819679,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"9","FFS","OCC-FFS-002","POSP","OCC-FFS-002_034",0,1,2013,2013-09-08,0.000345008,0.00023512,0.06089016,1,1,4,2016,2016-09-25,0,0,0,0,"MORT","13_16",-3.62871042693544,-Inf,-Inf,-3.4621708344468,-Inf,-Inf,3.04722792607803,-Inf,-Inf,1,0
"10","FFS","OCC-FFS-002","MOSP","OCC-FFS-002_035",0,1,2013,2013-09-08,0.00697746,0.00263242,0.251500329,1,1,4,2016,2016-09-25,0.002052613,0.00104492,0.201115555,1,"GROW","13_16",-2.57964481827599,-2.98091695825007,-0.401272139974081,-2.15630264453178,-2.68769292486597,-0.531390280334187,3.04722792607803,-2.7113291391435,-2.33068746024792,0,1
