"","Island","Site","Genus_Code","Site_Genet","TimePt_STA","TP_ID_STA","Year_STA","Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TimePt_END","TP_ID_END","Year_END","Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_Surface_Area_STA","l10_Surface_Area_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_Surface_Area_ENDann","Mortality","Survival"
"1","ASC","OCC-ASC-003","POSP","OCC-ASC-003_000",0,5,2017,2017-06-07,0,0,0,0,1,8,2022,2022-07-24,0.001408625,0.00065693,0.112401323,1,"RECR","17_22",-Inf,-3.18248090476802,Inf,-Inf,-2.85120460810207,Inf,5.12799452429843,NA,NA,0,1
"2","ASC","OCC-ASC-003","POSP","OCC-ASC-003_025",0,5,2017,2017-06-07,0.016246237,0.01078569,0.606406087,1,1,8,2022,2022-07-24,0.032035528,0.018847785,0.620660751,1,"GROW","17_22",-1.96715206626778,-1.72473968093831,0.242412385329473,-1.78924721557038,-1.49436811370125,0.294879101869124,5.12799452429843,-1.91987970975866,-1.73174342915409,0,1
"3","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_026",0,5,2017,2017-06-07,0.003063519,0.00179477,0.221853052,1,1,8,2022,2022-07-24,0.700745692,0.118744625,2.885996192,2,"GROW","17_22",-2.74599119841206,-0.925386039687698,1.82060515872436,-2.51377942182148,-0.154439563487589,2.35933985833389,5.12799452429843,-2.39095861206712,-2.05368925457297,0,1
"4","ASC","OCC-ASC-003","POCS","OCC-ASC-003_027",0,5,2017,2017-06-07,0.003426176,0.00180849,0.175778063,1,1,8,2022,2022-07-24,0.069147516,0.020583915,0.711935762,1,"GROW","17_22",-2.74268388831614,-1.68647202018613,1.05621186813002,-2.46519033142726,-1.16022341652169,1.30496691490557,5.12799452429843,-2.53671411531321,-2.21071133213775,0,1
"5","ASC","OCC-ASC-003","POCS","OCC-ASC-003_028",0,5,2017,2017-06-07,0.001286861,0.000543965,0.090773434,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.26442904294128,-Inf,-Inf,-2.89046836078258,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"6","ASC","OCC-ASC-003","POSP","OCC-ASC-003_029",0,5,2017,2017-06-07,0.000225326,0.000189285,0.061383341,1,1,8,2022,2022-07-24,0.000481194,0.00036486,0.076215998,1,"GROW","17_22",-3.72288380059162,-3.43787374620369,0.285010054387939,-3.64718869285211,-3.31767979650912,0.329508896342987,5.12799452429843,-3.66730455747086,-3.58293181917924,0,1
"7","ASC","OCC-ASC-003","POSP","OCC-ASC-003_030",0,5,2017,2017-06-07,0.002225343,0.001005435,0.127705115,1,1,8,2022,2022-07-24,0.00927993,0.00221863,0.221798787,1,"GROW","17_22",-2.99764600070502,-2.653915118839,0.34373088186602,-2.65260304017671,-2.0324552997217,0.620147740455013,5.12799452429843,-2.93061572595779,-2.53166926430848,0,1
"8","ASC","OCC-ASC-003","POCS","OCC-ASC-003_031",0,5,2017,2017-06-07,0.00248276,0.00035802,0.077616547,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.44609271177226,-Inf,-Inf,-2.60506526019304,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"9","ASC","OCC-ASC-003","POSP","OCC-ASC-003_032",0,5,2017,2017-06-07,0.001116978,0.000696425,0.105290246,1,1,8,2022,2022-07-24,0.00421874,0.002244455,0.38081217,3,"GROW","17_22",-3.1571256471366,-2.64888909752346,0.508236549613145,-2.95195538066478,-2.37481723926489,0.577138141399888,5.12799452429843,-3.05801544972806,-2.8394088210565,0,1
"10","ASC","OCC-ASC-003","POSP","OCC-ASC-003_033",0,5,2017,2017-06-07,0.001229759,0.00032942,0.089846757,2,1,8,2022,2022-07-24,0.005111373,0.002647255,0.238987719,1,"GROW","17_22",-3.48225003714574,-2.57720422274894,0.905045814396801,-2.91017999036974,-2.29146242545623,0.618717564913507,5.12799452429843,-3.30575885524055,-2.78952511018573,0,1
"11","ASC","OCC-ASC-003","POSP","OCC-ASC-003_034",0,5,2017,2017-06-07,0.000731736,0.00048017,0.083154641,1,1,8,2022,2022-07-24,0.008846472,0.004010165,0.347990676,1,"GROW","17_22",-3.31860497722663,-2.39683775777501,0.92176721945162,-3.13564557799005,-2.05322989273864,1.08241568525141,5.12799452429843,-3.13885298742166,-2.92456585079407,0,1
"12","ASC","OCC-ASC-003","POSP","OCC-ASC-003_035",0,5,2017,2017-06-07,0.000435756,0.00034329,0.087569508,1,1,8,2022,2022-07-24,0.001233308,0.000537675,0.199713087,3,"GROW","17_22",-3.46433884734056,-3.26948015622226,0.194858691118293,-3.3607566243007,-2.9089284513877,0.451828172912998,5.12799452429843,-3.42633984203839,-3.27264651209756,0,1
"13","ASC","OCC-ASC-003","POSP","OCC-ASC-003_036",0,5,2017,2017-06-07,0.003350072,0.00061018,0.114981508,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.21454203142319,-Inf,-Inf,-2.4749458589731,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"14","ASC","OCC-ASC-003","POSP","OCC-ASC-003_037",0,5,2017,2017-06-07,0.000819979,0.00050785,0.110084961,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.29426454321199,-Inf,-Inf,-3.08619726993446,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"15","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_038",0,5,2017,2017-06-07,0.003529258,0.00228038,0.443155627,5,1,8,2022,2022-07-24,0.07155154,0.026107015,0.928116512,1,"GROW","17_22",-2.64199277661709,-1.58324278130372,1.05874999531337,-2.45231659216973,-1.14538101450652,1.30693557766321,5.12799452429843,-2.43552804848671,-2.19745368787635,0,1
"16","ASC","OCC-ASC-003","POSP","OCC-ASC-003_039",0,5,2017,2017-06-07,8.17e-05,7.28e-05,0.034316398,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-4.13786862068696,-Inf,-Inf,-4.08777794346758,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"17","ASC","OCC-ASC-003","POSP","OCC-ASC-003_040",0,5,2017,2017-06-07,0.000140968,0.00011196,0.042489825,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.95093711020588,-Inf,-Inf,-3.85087946181747,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"18","ASC","OCC-ASC-003","POSP","OCC-ASC-003_041",0,5,2017,2017-06-07,0.002168665,0.001174415,0.195170058,1,1,8,2022,2022-07-24,0.000598372,0.00031861,0.108647566,1,"GROW","17_22",-2.93017841044603,-3.49674059740914,-0.566562186963104,-2.66380752953854,-3.2230287368849,-0.559221207346361,5.12799452429843,-3.04066257424116,-2.77286014351786,0,1
"19","ASC","OCC-ASC-003","POSP","OCC-ASC-003_042",0,5,2017,2017-06-07,4.05e-05,2.88e-05,0.022705382,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-4.54060751224077,-Inf,-Inf,-4.39254497678533,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"20","ASC","OCC-ASC-003","POSP","OCC-ASC-003_043",0,5,2017,2017-06-07,0.005610015,0.002809395,0.28248638,2,1,8,2022,2022-07-24,0.009640552,0.005773655,0.404797877,1,"GROW","17_22",-2.55138719484609,-2.23854917058912,0.312838024256965,-2.2510359775302,-2.01589809849441,0.235137879035791,5.12799452429843,-2.49038127473938,-2.20518220800653,0,1
