"Island","Site","Genus","Site_Genet","TP_ID_STA","Year_STA","TL_Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TP_ID_END","Year_END","TL_Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_Surface_Area_STA","l10_Surface_Area_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_Surface_Area_ENDann","Mortality","Survival","REGION"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_000",2,2017,"2017-06-07",0,0,0,0,3,2022,"2022-07-24",0.001408625,0.00065693,0.112401323,1,"RECR","17_22",-Inf,-3.18248090476802,Inf,-Inf,-2.85120460810207,Inf,5.12799452429843,NA,NA,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_025",2,2017,"2017-06-07",0.016246237,0.01078569,0.606406087,1,3,2022,"2022-07-24",0.032035528,0.018847785,0.620660751,1,"GROW","17_22",-1.96715206626778,-1.72473968093831,0.242412385329473,-1.78924721557038,-1.49436811370125,0.294879101869124,5.12799452429843,-1.91987970975866,-1.73174342915409,0,1,"MARIAN"
"ASC","OCC-ASC-003","ACSP","OCC-ASC-003_026",2,2017,"2017-06-07",0.003063519,0.00179477,0.221853052,1,3,2022,"2022-07-24",0.7007456849,0.118744615,2.885996192,2,"GROW","17_22",-2.74599119841206,-0.925386076261521,1.82060512215053,-2.51377942182148,-0.154439567887889,2.35933985393359,5.12799452429843,-2.3909586191993,-2.05368925543107,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_027",2,2017,"2017-06-07",0.003426176,0.00180849,0.175778063,1,3,2022,"2022-07-24",0.069147516,0.020583915,0.711935762,1,"GROW","17_22",-2.74268388831614,-1.68647202018613,1.05621186813002,-2.46519033142726,-1.16022341652169,1.30496691490557,5.12799452429843,-2.53671411531321,-2.21071133213775,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_028",2,2017,"2017-06-07",0.001286861,0.000543965,0.090773434,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.26442904294128,-Inf,-Inf,-2.89046836078258,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_029",2,2017,"2017-06-07",0.000225326,0.000189285,0.061383341,1,3,2022,"2022-07-24",0.000481194,0.00036486,0.076215998,1,"GROW","17_22",-3.72288380059162,-3.43787374620369,0.285010054387939,-3.64718869285211,-3.31767979650912,0.329508896342987,5.12799452429843,-3.66730455747086,-3.58293181917924,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_030",2,2017,"2017-06-07",0.002225343,0.001005435,0.127705115,1,3,2022,"2022-07-24",0.00927993,0.00221863,0.221798787,1,"GROW","17_22",-2.99764600070502,-2.653915118839,0.34373088186602,-2.65260304017671,-2.0324552997217,0.620147740455013,5.12799452429843,-2.93061572595779,-2.53166926430848,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_031",2,2017,"2017-06-07",0.00248276,0.00035802,0.077616547,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.44609271177226,-Inf,-Inf,-2.60506526019304,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_032",2,2017,"2017-06-07",0.001116978,0.000696425,0.105290246,1,3,2022,"2022-07-24",0.00421874,0.002244455,0.38081217,3,"GROW","17_22",-3.1571256471366,-2.64888909752346,0.508236549613145,-2.95195538066478,-2.37481723926489,0.577138141399888,5.12799452429843,-3.05801544972806,-2.8394088210565,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_033",2,2017,"2017-06-07",0.0012297707,0.00032944,0.089846757,2,3,2022,"2022-07-24",0.005111373,0.002647255,0.238987719,1,"GROW","17_22",-3.48222367072604,-2.57720422274894,0.905019447977104,-2.91017585848596,-2.29146242545623,0.618713433029725,5.12799452429843,-3.30573763048385,-2.78952178405237,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_034",2,2017,"2017-06-07",0.000731736,0.00048017,0.083154641,1,3,2022,"2022-07-24",0.008846472,0.004010165,0.347990676,1,"GROW","17_22",-3.31860497722663,-2.39683775777501,0.92176721945162,-3.13564557799005,-2.05322989273864,1.08241568525141,5.12799452429843,-3.13885298742166,-2.92456585079407,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_035",2,2017,"2017-06-07",0.000435756,0.00034329,0.087569508,1,3,2022,"2022-07-24",0.0012332728,0.000537645,0.199713087,3,"GROW","17_22",-3.46433884734056,-3.26950438870089,0.194834458639662,-3.3607566243007,-2.90894084681846,0.451815777482235,5.12799452429843,-3.42634456756579,-3.27264892930583,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_036",2,2017,"2017-06-07",0.003350072,0.00061018,0.114981508,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.21454203142319,-Inf,-Inf,-2.4749458589731,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_037",2,2017,"2017-06-07",0.000819979,0.00050785,0.110084961,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.29426454321199,-Inf,-Inf,-3.08619726993446,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","ACSP","OCC-ASC-003_038",2,2017,"2017-06-07",0.003529258,0.00228042,0.443155627,5,3,2022,"2022-07-24",0.07155154,0.026107015,0.928116512,1,"GROW","17_22",-2.64198515875212,-1.58324278130372,1.0587423774484,-2.45231659216973,-1.14538101450652,1.30693557766321,5.12799452429843,-2.43552191616642,-2.19745368787635,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_039",2,2017,"2017-06-07",8.16755e-05,7.275e-05,0.034316398,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-4.13816700234205,-Inf,-Inf,-4.08790819818615,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_040",2,2017,"2017-06-07",0.000140968,0.00011196,0.042489825,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.95093711020588,-Inf,-Inf,-3.85087946181747,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_041",2,2017,"2017-06-07",0.002168665,0.001174415,0.195170058,1,3,2022,"2022-07-24",0.000598372,0.00031861,0.108647566,1,"GROW","17_22",-2.93017841044603,-3.49674059740914,-0.566562186963104,-2.66380752953854,-3.2230287368849,-0.559221207346361,5.12799452429843,-3.04066257424116,-2.77286014351786,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_042",2,2017,"2017-06-07",4.04566e-05,2.88e-05,0.022705382,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-4.54060751224077,-Inf,-Inf,-4.39301061843333,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_043",2,2017,"2017-06-07",0.005610015,0.002809395,0.28248638,2,3,2022,"2022-07-24",0.009640552,0.005773655,0.404797877,1,"GROW","17_22",-2.55138719484609,-2.23854917058912,0.312838024256965,-2.2510359775302,-2.01589809849441,0.235137879035791,5.12799452429843,-2.49038127473938,-2.20518220800653,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_044",2,2017,"2017-06-07",0.001316786,0.00084912,0.175980397,1,3,2022,"2022-07-24",0.001249887,0.00061778,0.130600954,2,"GROW","17_22",-3.07103092971469,-3.20916615564971,-0.138135225935021,-2.88048479950352,-2.90312924898778,-0.0226444494842606,5.12799452429843,-3.09796840503384,-2.88490064850198,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_045",2,2017,"2017-06-07",0.003201313,0.00126417,0.163799287,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-2.89819452012204,-Inf,-Inf,-2.49467186177361,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_046",2,2017,"2017-06-07",0.002006546,0.000483065,0.091464772,1,3,2022,"2022-07-24",0.003591606,0.001555415,0.166569133,1,"GROW","17_22",-3.31599442775363,-2.80815371714262,0.50784071061101,-2.69755087962953,-2.44471131159578,0.252839568033753,5.12799452429843,-3.21696142212059,-2.64824513898654,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_047",2,2017,"2017-06-07",0.001179942,0.00012172,0.045980156,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.91463805631387,-Inf,-Inf,-2.92813933989644,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_048",2,2017,"2017-06-07",0.006811616,0.00493053,0.611695556,2,3,2022,"2022-07-24",0.04130283,0.01987611,1.107387461,1,"GROW","17_22",-2.30710639437313,-1.70166860841167,0.605437785961453,-2.16674984306142,-1.38402019020131,0.782729652860108,5.12799452429843,-2.18904117743644,-2.01411129223005,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_049",2,2017,"2017-06-07",0.001962936,0.001265385,0.202146891,2,3,2022,"2022-07-24",0.001748948,0.00096024,0.252108174,3,"GROW","17_22",-2.89777731801646,-3.0176202069094,-0.119842888892935,-2.70709386000262,-2.75722310284195,-0.050129242839335,5.12799452429843,-2.92114764111745,-2.71686946381846,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_050",2,2017,"2017-06-07",0.002811318,0.000954705,0.259914265,1,3,2022,"2022-07-24",0.003121415,0.001068225,0.187712251,2,"GROW","17_22",-3.02013080293345,-2.97133726231989,0.04879354061356,-2.55109002673902,-2.5056484869488,0.0454415397902221,5.12799452429843,-3.01061567174866,-2.54222856255943,0,1,"MARIAN"
"ASC","OCC-ASC-003","ACSP","OCC-ASC-003_051",2,2017,"2017-06-07",0.00073736,0.00014395,0.047387465,1,3,2022,"2022-07-24",0.002589388,0.001734765,0.184512575,1,"GROW","17_22",-3.8417883307859,-2.76075934860548,1.08102898218042,-3.13232042551815,-2.58680286898048,0.545517556537676,5.12799452429843,-3.63097902179423,-3.0259401331928,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_052",2,2017,"2017-06-07",0.000877392,0.0003613,0.082440575,1,3,2022,"2022-07-24",0.07657652,0.01586642,0.718146269,1,"GROW","17_22",-3.44213203843198,-1.79952105368855,1.64261098474342,-3.05680632978028,-1.11590437393947,1.94090195584082,5.12799452429843,-3.12180974148722,-2.67831490459563,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_053",2,2017,"2017-06-07",0.00061272,0.00018957,0.068247689,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.72223038991635,-Inf,-Inf,-3.21273794348414,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_054",2,2017,"2017-06-07",0.002087134,0.00091381,0.171363156,1,3,2022,"2022-07-24",0.040803817,0.012059675,0.65591882,1,"GROW","17_22",-3.03914409368559,-1.91866439597767,1.12047969770793,-2.68044966708578,-1.38929920885865,1.29115045822713,5.12799452429843,-2.82064157922333,-2.42866498749824,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_055",2,2017,"2017-06-07",0.000275446,0.00016872,0.05155969,1,3,2022,"2022-07-24",0.065731767,0.021946945,0.907230477,1,"GROW","17_22",-3.77283343326857,-1.65862592471483,2.11420750855374,-3.55996353002706,-1.18222469286744,2.37773883715962,5.12799452429843,-3.36054603738002,-3.09628541455853,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_056",2,2017,"2017-06-07",0.000935047,0.00077934,0.106319199,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.10827303281579,-Inf,-Inf,-3.02916655883054,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_057",2,2017,"2017-06-07",0.000328727,0.00024958,0.06583821,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.60279021962122,-Inf,-Inf,-3.48316462366574,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_058",2,2017,"2017-06-07",0.0008297,0.00038718,0.081299976,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.41208708450923,-Inf,-Inf,-3.08107890990866,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_059",2,2017,"2017-06-07",0.000399761,0.00030734,0.068193946,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.51238091306361,-Inf,-Inf,-3.39819957717879,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_060",2,2017,"2017-06-07",0.000493944,0.00038458,0.083324549,1,3,2022,"2022-07-24",0.029980517,0.010220915,0.702663587,1,"GROW","17_22",-3.4150133049012,-1.99051022341234,1.42450308148886,-3.30632228563016,-1.52316088221785,1.78316140341231,5.12799452429843,-3.13722379581748,-2.95859153144097,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_061",2,2017,"2017-06-07",0.000354622,0.00012439,0.045341223,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.90521453218044,-Inf,-Inf,-3.4502343251868,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_062",2,2017,"2017-06-07",0.000871535,0.00017727,0.05560844,1,3,2022,"2022-07-24",0.028455562,0.006329755,0.43538597,1,"GROW","17_22",-3.75136475530067,-2.19861309949406,1.55275165580661,-3.05971516735875,-1.54583283261448,1.51388233474427,5.12799452429843,-3.44856574714084,-2.76449598809269,0,1,"MARIAN"
"ASC","OCC-ASC-003","POCS","OCC-ASC-003_063",2,2017,"2017-06-07",0.001239158,0.00035812,0.072685211,1,3,2022,"2022-07-24",0.022706521,0.008917785,0.533203124,1,"GROW","17_22",-3.44597142417913,-2.04974300232047,1.39622842185865,-2.90687331496912,-1.64384940150217,1.26302391346695,5.12799452429843,-3.17369570016211,-2.66057353686244,0,1,"MARIAN"
"ASC","OCC-ASC-003","ACSP","OCC-ASC-003_064",2,2017,"2017-06-07",0.009466819,0.005489755,0.382400416,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-2.26044703706581,-Inf,-Inf,-2.02379592625779,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_065",2,2017,"2017-06-07",0.003465675,0.00205738,0.218370715,1,3,2022,"2022-07-24",0.048235568,0.02709068,1.096448616,1,"GROW","17_22",-2.68668548630167,-1.56718009365486,1.11950539264681,-2.46021216647049,-1.3166326030563,1.14357956341418,5.12799452429843,-2.46837296912909,-2.23720499319925,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_066",2,2017,"2017-06-07",0.003991563,0.00334421,0.266716746,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-2.47570645881148,-Inf,-Inf,-2.39885701174269,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_067",2,2017,"2017-06-07",0.032641672,0.015294235,1.830131715,4,3,2022,"2022-07-24",0.0300367831,0.01759032,2.093952925,2,"GROW","17_22",-1.81547224104527,-1.75472625986203,0.0607459811832411,-1.48622760354024,-1.52234658154566,-0.0361189780054274,5.12799452429843,-1.80362628822777,-1.49327109351166,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_068",2,2017,"2017-06-07",0.002955289,0.00179635,0.2153155,1,3,2022,"2022-07-24",0.003013987,0.00074889,0.24345688,2,"GROW","17_22",-2.74560904168898,-3.12558196855065,-0.379972926861671,-2.52940004271228,-2.52085862522658,0.00854141748570747,5.12799452429843,-2.81970680545632,-2.52773439789827,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_069",2,2017,"2017-06-07",0.0197856196,0.010614255,1.224075941,6,3,2022,"2022-07-24",0.029833883,0.015012425,1.382055377,3,"GROW","17_22",-1.97411048296228,-1.82354914925881,0.150561333703465,-1.70365034496088,-1.5252902177836,0.178360127177274,5.12799452429843,-1.94474981711327,-1.66886869175666,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_070",2,2017,"2017-06-07",0.002379162,0.001846995,0.309884627,1,3,2022,"2022-07-24",0.002142562,0.00156985,0.371709371,3,"GROW","17_22",-2.73353428023672,-2.80414184267641,-0.0706075624396929,-2.62357598532267,-2.66906660190498,-0.0454906165823101,5.12799452429843,-2.74730332037612,-2.63244701986975,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_071",2,2017,"2017-06-07",0.000558467,0.00029429,0.07260549,1,3,2022,"2022-07-24",0,0,0,0,"MORT","17_22",-3.53122449501424,-Inf,-Inf,-3.25300248439497,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_072",2,2017,"2017-06-07",0.000734336,0.00017505,0.059810439,1,3,2022,"2022-07-24",0.002840947,0.00085885,0.151426657,1,"GROW","17_22",-3.75683788489895,-3.06608268001129,0.690755204887654,-3.13410518046969,-2.54653686829123,0.587568312178461,5.12799452429843,-3.62213508800348,-3.01952465402912,0,1,"MARIAN"
"ASC","OCC-ASC-003","POSP","OCC-ASC-003_073",2,2017,"2017-06-07",0.004820699,0.003283605,0.676930544,3,3,2022,"2022-07-24",0.031677109,0.01655191,1.792159066,5,"GROW","17_22",-2.48364909169815,-1.78115188378563,0.702497207912517,-2.3168899846174,-1.49925446100423,0.817635523613175,5.12799452429843,-2.3466565101765,-2.15744450944404,0,1,"MARIAN"
