SiteName,IslandCode,Latitude,Longitude,SampleDate(MM/DD/YYYY),Notes
OAH_OCC_010,OAH,21.288,-157.9,3/7/17,
OAH_OCC_010,OAH,21.288,-157.9,5/7/19,
MAI_SIO_OL3,MAI,20.805,-156.6,7/22/14,
MAI_SIO_OL3,MAI,20.805,-156.6,7/14/15,
MAI_SIO_OL3,MAI,20.805,-156.6,11/4/15,
MAI_SIO_OL3,MAI,20.805,-156.6,6/16/16,
MAI_SIO_OL3,MAI,20.805,-156.6,11/29/16,
MAI_SIO_OL3,MAI,20.805,-156.6,7/26/17,
MAI_SIO_K01,MAI,20.937,-156.694,7/21/14,
MAI_SIO_K01,MAI,20.937,-156.694,7/10/15,
MAI_SIO_K01,MAI,20.937,-156.694,11/2/15,
MAI_SIO_K01,MAI,20.937,-156.694,6/16/16,
MAI_SIO_K01,MAI,20.937,-156.694,11/30/16,
MAI_SIO_K01,MAI,20.937,-156.694,7/28/17,
MAI_SIO_K01,MAI,20.937,-156.694,9/14/18,
MAI_SIO_K02,MAI,20.93884,-156.69383,7/21/14,
MAI_SIO_K02,MAI,20.93884,-156.69383,7/11/15,
MAI_SIO_K02,MAI,20.93884,-156.69383,7/4/16,
MAI_SIO_K02,MAI,20.93884,-156.69383,8/2/17,
MAI_SIO_K02,MAI,20.93884,-156.69383,9/14/18,
HAW_OCC_010,HAW,19.244,-155.9,8/11/16,Date is incorrect in ArcMap/exported patch annotations file
HAW_OCC_010,HAW,19.244,-155.9,7/19/19,
HAW_SIO_K08,HAW,19.443,-155.913,4/13/15,
HAW_SIO_K08,HAW,19.443,-155.913,4/8/17,
HAW_SIO_K08,HAW,19.443,-155.913,7/19/19,
HAW_SIO_K10,HAW,19.64222,-156.01208,4/15/15,
HAW_SIO_K10,HAW,19.64222,-156.01208,4/8/17,
HAW_SIO_K10,HAW,19.64222,-156.01208,7/17/19,
HAW_OCC_002,HAW,20.268,-155.9,8/15/16,
HAW_OCC_002,HAW,20.268,-155.9,7/15/19,
FFS_OCC_002,FFS,23.878152,-166.29106,9/6/13,
FFS_OCC_002,FFS,23.878152,-166.29106,9/25/16,
FFS_OCC_002,FFS,23.878152,-166.29106,8/28/19,
FFS_OCC_014,FFS,23.792456,-166.253732,9/6/13,
FFS_OCC_014,FFS,23.792456,-166.253732,9/2/16,
FFS_OCC_014,FFS,23.792456,-166.253732,8/27/19,
LIS_OCC_005,LIS,26.03741,-173.87918,9/12/13,
LIS_OCC_005,LIS,26.03741,-173.87918,9/18/16,
LIS_OCC_005,LIS,26.03741,-173.87918,8/30/19,
KUR_OCC_010,KUR,28.385,-178.3,9/12/16,
KUR_OCC_010,KUR,28.385,-178.3,9/2/19,
PHR_OCC_016,PHR,27.793,-175.9971,9/11/13,
PHR_OCC_016,PHR,27.793,-175.9971,9/11/16,
PHR_OCC_016,PHR,27.793,-175.9971,9/4/19,
HAW_OCC_003,HAW,19.74694,-155.05806,8/8/16,
HAW_OCC_003,HAW,19.74694,-155.05806,7/13/19,
OAH_OCC_005,OAH,21.48,-157.783,8/1/16,
OAH_OCC_005,OAH,21.48,-157.783,10/4/18,
MAI_OCC_002,MAI,20.869,-156.146,7/14/16,Date is incorrect in ArcMap/exported patch annotations file
MAI_OCC_002,MAI,20.869,-156.146,4/27/19,
