Island,Site,Genus,Year,Effort
ASC,OCC-ASC-003,ACSP,2023,124
ASC,OCC-ASC-003,ACSP,2018,124
ASC,OCC-ASC-003,POSP,2023,14.1
ASC,OCC-ASC-003,POSP,2018,14.1
ASC,OCC-ASC-003,MOSP,2023,12.5
ASC,OCC-ASC-003,MOSP,2018,12.5
ASC,OCC-ASC-003,POCS,2023,123
ASC,OCC-ASC-003,POCS,2018,123
BAK,OCC-BAK-003,ACSP,2017,7
BAK,OCC-BAK-003,ACSP,2018,7
BAK,OCC-BAK-003,ACSP,2024,7
BAK,OCC-BAK-003,POCS,2017,17
BAK,OCC-BAK-003,POCS,2018,17
BAK,OCC-BAK-003,POCS,2024,17
BAK,OCC-BAK-003,MOSP,2017,0
BAK,OCC-BAK-003,MOSP,2018,0
BAK,OCC-BAK-003,MOSP,2024,0
BAK,OCC-BAK-003,POSP,2017,12.5
BAK,OCC-BAK-003,POSP,2018,12.5
BAK,OCC-BAK-003,POSP,2024,12.5
BAK,OCC-BAK-008,ACSP,2017,136.6
BAK,OCC-BAK-008,ACSP,2018,136.6
BAK,OCC-BAK-008,ACSP,2024,136.6
BAK,OCC-BAK-008,POCS,2017,12.5
BAK,OCC-BAK-008,POCS,2018,12.5
BAK,OCC-BAK-008,POCS,2024,12.5
BAK,OCC-BAK-008,MOSP,2017,136.6
BAK,OCC-BAK-008,MOSP,2018,136.6
BAK,OCC-BAK-008,MOSP,2024,136.6
BAK,OCC-BAK-008,POSP,2017,136.6
BAK,OCC-BAK-008,POSP,2018,136.6
BAK,OCC-BAK-008,POSP,2024,136.6
FFS,OCC-FFS-002,POSP,2013,7
FFS,OCC-FFS-002,POSP,2016,12.5
FFS,OCC-FFS-002,POSP,2019,8.5
FFS,OCC-FFS-002,POSP,2024,9
FFS,OCC-FFS-002,MOSP,2013,7
FFS,OCC-FFS-002,MOSP,2016,12.5
FFS,OCC-FFS-002,MOSP,2019,8.5
FFS,OCC-FFS-002,MOSP,2024,9
FFS,OCC-FFS-002,POCS,2013,7
FFS,OCC-FFS-002,POCS,2016,12.5
FFS,OCC-FFS-002,POCS,2019,8.5
FFS,OCC-FFS-002,POCS,2024,9
GUA,OCC-GUA-015,ACSP,2017,12.5
GUA,OCC-GUA-015,ACSP,2022,12.5
GUA,OCC-GUA-015,ACSP,2025,12.5
GUA,OCC-GUA-015,POSP,2017,12.5
GUA,OCC-GUA-015,POSP,2022,12.5
GUA,OCC-GUA-015,POSP,2025,12.5
GUA,OCC-GUA-015,MOSP,2017,12.5
GUA,OCC-GUA-015,MOSP,2022,12.5
GUA,OCC-GUA-015,MOSP,2025,12.5
GUA,OCC-GUA-015,POCS,2017,12.5
GUA,OCC-GUA-015,POCS,2022,12.5
GUA,OCC-GUA-015,POCS,2025,12.5
GUA,OCC-GUA-025,ACSP,2017,12.5
GUA,OCC-GUA-025,ACSP,2022,12.5
GUA,OCC-GUA-025,ACSP,2025,12.5
GUA,OCC-GUA-025,POSP,2017,12
GUA,OCC-GUA-025,POSP,2022,12
GUA,OCC-GUA-025,POSP,2025,12
GUA,OCC-GUA-025,MOSP,2017,12.5
GUA,OCC-GUA-025,MOSP,2022,12.5
GUA,OCC-GUA-025,MOSP,2025,12.5
GUA,OCC-GUA-025,POCS,2017,25
GUA,OCC-GUA-025,POCS,2022,25
GUA,OCC-GUA-025,POCS,2025,25
GUA,OCC-GUA-026,ACSP,2017,5
GUA,OCC-GUA-026,ACSP,2022,5
GUA,OCC-GUA-026,ACSP,2025,5
GUA,OCC-GUA-026,POSP,2017,5
GUA,OCC-GUA-026,POSP,2022,5
GUA,OCC-GUA-026,POSP,2025,5
GUA,OCC-GUA-026,MOSP,2017,5
GUA,OCC-GUA-026,MOSP,2022,5
GUA,OCC-GUA-026,MOSP,2025,5
GUA,OCC-GUA-026,POCS,2017,5
GUA,OCC-GUA-026,POCS,2022,5
GUA,OCC-GUA-026,POCS,2025,5
HAW,OCC-HAW-002,POSP,2016,9.5
HAW,OCC-HAW-002,POSP,2019,9.5
HAW,OCC-HAW-002,POSP,2024,5
HAW,OCC-HAW-002,MOSP,2016,11
HAW,OCC-HAW-002,MOSP,2019,11
HAW,OCC-HAW-002,MOSP,2024,5
HAW,OCC-HAW-002,POCS,2016,11.5
HAW,OCC-HAW-002,POCS,2019,11
HAW,OCC-HAW-002,POCS,2024,5
HAW,OCC-HAW-003,POSP,2016,77
HAW,OCC-HAW-003,POSP,2019,77
HAW,OCC-HAW-003,POSP,2024,77
HAW,OCC-HAW-003,MOSP,2016,12.5
HAW,OCC-HAW-003,MOSP,2019,12.5
HAW,OCC-HAW-003,MOSP,2024,10
HAW,OCC-HAW-003,POCS,2016,12.5
HAW,OCC-HAW-003,POCS,2019,12.5
HAW,OCC-HAW-003,POCS,2024,10
HAW,OCC-HAW-010,POSP,2016,5
HAW,OCC-HAW-010,POSP,2019,5
HAW,OCC-HAW-010,POSP,2024,5
HAW,OCC-HAW-010,MOSP,2016,118.2
HAW,OCC-HAW-010,MOSP,2019,118.2
HAW,OCC-HAW-010,MOSP,2024,118.2
HAW,OCC-HAW-010,POCS,2016,118.2
HAW,OCC-HAW-010,POCS,2019,118.2
HAW,OCC-HAW-010,POCS,2024,118.2
HOW,OCC-HOW-005,ACSP,2017,12
HOW,OCC-HOW-005,ACSP,2018,12
HOW,OCC-HOW-005,ACSP,2023,12
HOW,OCC-HOW-005,POCS,2017,12
HOW,OCC-HOW-005,POCS,2018,12
HOW,OCC-HOW-005,POCS,2023,12
HOW,OCC-HOW-005,MOSP,2017,12
HOW,OCC-HOW-005,MOSP,2018,12
HOW,OCC-HOW-005,MOSP,2023,12
HOW,OCC-HOW-005,POSP,2017,12
HOW,OCC-HOW-005,POSP,2018,12
HOW,OCC-HOW-005,POSP,2023,12
MAI,OCC-MAI-002,POSP,2016,10.5
MAI,OCC-MAI-002,POSP,2019,12.5
MAI,OCC-MAI-002,POSP,2024,11
MAI,OCC-MAI-002,MOSP,2016,10.5
MAI,OCC-MAI-002,MOSP,2019,12.5
MAI,OCC-MAI-002,MOSP,2024,11
