,Site,Genus_Code,StartingDate,EndingDate,Interval_Years,Interval,SIG,g.N,g.int,g.slp,g.var,g.R2,g.AIC,s.N,s.int,s.slp,s.pR2,s.AIC,StartingYear,SEC_NAME,N.Rec_Site,MN.RecVal_Site,NA_Site_Reason,N.RecVal_Sec,MN.RecVal_Sec,LOW_CI95.RecVal_Sec,HIGH_CI95.RecVal_Sec,N.RecVal_Sec_SSSS,MN.RecVal_Sec_SSSS,LOW_CI95.RecVal_Sec_SSSS,HIGH_CI95.RecVal_Sec_SSSS,RecSec_NA_Reason,RecData,Enough_G,Enough_S,Enough_GS,Model_Category
6,FFS_OCC_014,POSP,9/6/2013,9/2/2016,2.98973306,13-16,FFS014_1309-1609_POSP,22,0.030678847,0.985899967,0.012381799,0.990822981,-30.27713756,30,-1.256802401,1.743241738,0.182262427,32.4531055,2013,French Frigate,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
11,HAW_OCC_002,POSP,8/15/2016,7/15/2019,2.913073238,16-19,HAW002_1608-1907_POSP,316,0.044512171,0.874358018,0.033188682,0.916382857,-175.3898499,460,0.49488775,0.494276875,0.019212543,564.8074621,2016,HAW_HAMAKUA,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
16,HAW_SIO_K08,POSP,4/13/2015,4/8/2017,1.987679671,15-17,HAWK08_1504-1704_POSP,39,0.009399404,0.878488531,0.064303823,0.860984989,7.602788504,86,-2.531123132,1.432205001,0.114635531,108.8944869,2015,HAW_KONA,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
19,HAW_SIO_K10,POSP,4/15/2015,4/8/2017,1.98220397,15-17,HAWK10_1504-1704_POSP,66,0.028519815,0.861802512,0.077585097,0.838634686,22.54788207,128,-2.063906848,1.160295761,0.108850229,162.0192637,2015,HAW_KONA,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
24,LIS_OCC_005,MOSP,9/12/2013,9/18/2016,3.017111567,13-16,LIS005_1309-1609_MOSP,31,0.32219878,0.810226132,0.018149835,0.919558825,-32.37515134,74,-2.273922161,1.285355088,0.073276683,97.25729538,2013,Lisianski,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
25,LIS_OCC_005,POSP,9/12/2013,9/18/2016,3.017111567,13-16,LIS005_1309-1609_POSP,25,0.167320347,0.916897025,0.021163648,0.931646027,-21.52437121,42,-2.496664316,1.850487423,0.117622588,54.02303698,2013,Lisianski,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
54,MAI_SIO_OL3,MOSP,7/22/2014,7/14/2015,0.977412731,14-15,MAIOL3_1407-1507_MOSP,129,0.081118453,0.930462749,0.131461902,0.804042312,108.3245495,226,-1.800429498,2.180065542,0.279562532,226.4395995,2014,MAI_KIHEI,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
62,MAI_SIO_OL3,POSP,7/22/2014,7/14/2015,0.977412731,14-15,MAIOL3_1407-1507_POSP,48,0.164987773,0.945100047,0.011917538,0.969167918,-72.45248423,56,-0.771572283,2.914407573,0.406429344,31.26449738,2014,MAI_KIHEI,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
30,MAI_SIO_K01,MOSP,7/21/2014,7/10/2015,0.969199179,14-15,MAIK01_1407-1507_MOSP,61,0.048676986,0.965444903,0.111550439,0.804553713,43.28699584,90,-0.634224491,1.409605873,0.107248295,105.0023311,2014,MAI_LAHAINA,NA,NA,First Interval,18,NA,NA,NA,18,NA,NA,NA,NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
52,MAI_SIO_K01,POSP,7/21/2014,7/10/2015,0.969199179,14-15,MAIK01_1407-1507_POSP,114,0.006264889,1.019367969,0.042989027,0.873950343,-31.23615094,117,0.773873589,2.933043543,0.137814364,28.05823897,2014,MAI_LAHAINA,NA,NA,First Interval,18,NA,NA,NA,18,NA,NA,NA,NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
