"","REGION","ISLAND","ANALYSIS_SEC","ANALYSIS_YEAR","GENUS_CODE","Mean_JuvColDen_cm2","SE_JuvColDen_cm2","N.JCD","SEC_YEAR","COVER","SE.COVER","N.COVER","P_COVER","SE.P_COVER","meanPropRec","Mean_JuvColDenP","SE_JuvColDenP","N.JCDp","SD_JuvColDenP","SD.P_COVER","MN.RecVal","SE.RecVal","N.RecVal","CI95.RecVal","LOW_CI95.RecVal","HIGH_CI95.RecVal"
"1","MARIAN","Asuncion","Asuncion","2014","ACSP",1.46154706013861e-06,1.45313924123026e-06,12,"Asuncion-2014",0.0791361043628898,0.0252105874686375,66,0.000791361043628898,0.000252105874686375,0.88341218966219,1.29114848869139e-06,1.28372091897928e-06,12,4.44693970882224e-06,0.00204811780798645,0.00163155426854302,0.00170340529920022,12,0.00333867438643243,-0.00170712011788941,0.00497022865497545
"2","MARIAN","Asuncion","Asuncion","2014","MOSP",1.10670970266041e-05,7.03487246304256e-06,12,"Asuncion-2014",1.5493129551665,0.156946082544293,132,0.015493129551665,0.00156946082544293,1,1.10670970266041e-05,7.03487246304256e-06,12,2.43695130615138e-05,0.0180317320660884,0.000714322886780144,0.000459793722889643,12,0.000901195696863701,-0.000186872810083557,0.00161551858364384
"3","MARIAN","Asuncion","Asuncion","2014","POCS",0.000174177006483345,4.8745971939846e-05,12,"Asuncion-2014",9.37523499308798,1.66208026588179,33,0.0937523499308798,0.0166208026588179,0.989336321573164,0.000172319638896858,4.82261605704759e-05,12,0.000167060320724078,0.0954792421093253,0.00183803007630105,0.000608923115609521,12,0.00119348930659466,0.000644540769706387,0.00303151938289571
"4","MARIAN","Asuncion","Asuncion","2014","POSP",3.5601106639839e-05,1.18329315571725e-05,12,"Asuncion-2014",1.31121436675437,0.251838960788746,165,0.0131121436675437,0.00251838960788746,0.642734294175498,2.28820521480236e-05,7.60543091242625e-06,12,2.63459855075544e-05,0.0323493002370078,0.00174510383108928,0.000669907446874406,12,0.00131301859587384,0.000432085235215445,0.00305812242696312
"5","MARIAN","Asuncion","Asuncion","2014","SSSS",0.000456722976749385,6.66853886047041e-05,12,"Asuncion-2014",18.0368520023742,1.92491007913643,33,0.180368520023742,0.0192491007913643,0.751949671335974,0.000343432692258288,5.0144056044219e-05,12,0.000173704105532337,0.110577665385517,0.0019040611533159,0.000344355203417255,12,0.00067493619869782,0.00122912495461808,0.00257899735201372
"6","MARIAN","Maug","Maug","2014","ACSP",2.33412951167728e-06,1.90714353063459e-06,19,"Maug-2014",0.839377199361106,0.117250810659341,118,0.00839377199361106,0.00117250810659341,0.88341218966219,2.06199846286596e-06,1.68479384239798e-06,19,7.3438460997124e-06,0.012736698186077,0.000245658145638869,0.000203631713160996,19,0.000399118157795552,-0.000153460012156683,0.000644776303434421
"7","MARIAN","Maug","Maug","2014","MOSP",1.38815684713376e-05,5.35520265508745e-06,19,"Maug-2014",1.97518291926062,0.128475569861117,236,0.0197518291926062,0.00128475569861117,1,1.38815684713376e-05,5.35520265508745e-06,19,2.33427871957069e-05,0.0197367915428744,0.000702799135005379,0.000274951194002816,19,0.00053890434024552,0.000163894794759859,0.0012417034752509
"8","MARIAN","Maug","Maug","2014","POCS",0.000146325504246284,3.98780220773731e-05,19,"Maug-2014",8.34274144098998,1.07625478812561,59,0.0834274144098998,0.0107625478812561,0.989336321573164,0.000144765136123357,3.94527756736417e-05,19,0.000171970662203584,0.0826686988943426,0.00173522261414083,0.000523205217683207,19,0.00102548222665909,0.000709740387481748,0.00276070484079992
"9","MARIAN","Maug","Maug","2014","POSP",3.57182192144374e-05,1.39193543302618e-05,19,"Maug-2014",2.40050979307482,0.264223616596794,295,0.0240050979307482,0.00264223616596794,0.642734294175498,2.29573244159971e-05,8.94644638083948e-06,19,3.89966556778845e-05,0.0453818964702991,0.000956352041646578,0.000387270234231266,19,0.000759049659093282,0.000197302382553296,0.00171540170073986
"10","MARIAN","Maug","Maug","2014","SSSS",0.000528313296178344,8.43385777721343e-05,19,"Maug-2014",27.979456007601,1.52931867792392,59,0.27979456007601,0.0152931867792392,0.751949671335974,0.000397265009423731,6.34183658366999e-05,19,0.000276434247846667,0.117469196600714,0.00141984536552751,0.000239578344089715,19,0.000469573554415842,0.000950271811111667,0.00188941891994335
"11","MARIAN","Pagan","Pagan","2014","ACSP",2.70255736294408e-06,1.90651726811839e-06,19,"Pagan-2014",0.0496140528067392,0.014818812715319,122,0.000496140528067392,0.00014818812715319,0.88341218966219,2.3874721176861e-06,1.68424059445724e-06,19,7.34143454784799e-06,0.00163679136286783,0.0048120884761944,0.00368641640751208,19,0.00722537615872367,-0.00241328768252927,0.0120374646349181
"12","MARIAN","Pagan","Pagan","2014","MOSP",1.40007358091146e-05,4.44052794280684e-06,19,"Pagan-2014",0.706867891652263,0.0574792259144372,244,0.00706867891652263,0.000574792259144372,1,1.40007358091146e-05,4.44052794280684e-06,19,1.93558125586636e-05,0.00897854211139197,0.0019806721983635,0.000648515537162081,19,0.00127109045283768,0.000709581745525821,0.00325176265120118
"13","MARIAN","Pagan","Pagan","2014","POCS",3.44297020300987e-05,1.07323102539512e-05,19,"Pagan-2014",1.20517240626978,0.236453580854985,61,0.0120517240626978,0.00236453580854985,0.989336321573164,3.40625547593179e-05,1.0617864348626e-05,19,4.62821976918842e-05,0.0184676150323961,0.00282636364574157,0.00104101263362838,19,0.00204038476191163,0.000785978883829935,0.0048667484076532
"14","MARIAN","Pagan","Pagan","2014","POSP",9.04085904730426e-05,3.64193623358392e-05,19,"Pagan-2014",2.35796919047849,0.480456982054554,305,0.0235796919047849,0.00480456982054554,0.642734294175498,5.81087015850927e-05,2.34079731452473e-05,19,0.000102032989413247,0.0839082046283412,0.00246435372521984,0.00111248657725948,19,0.00218047369142859,0.00028388003379125,0.00464482741664843
"15","MARIAN","Pagan","Pagan","2014","SSSS",0.000865085398451784,9.52610424595726e-05,19,"Pagan-2014",11.2615251565787,1.27461850714474,61,0.112615251565787,0.0127461850714474,0.751949671335974,0.000650500681043369,7.16315095685979e-05,19,0.000312234511382785,0.0995508878233183,0.00577631068615394,0.000912151744628225,19,0.00178781741947132,0.00398849326668262,0.00756412810562526
"16","MARIAN","Saipan","Saipan","2014","ACSP",3.4022196430674e-05,6.85765086201134e-06,22,"Saipan-2014",0.80389362859786,0.0981874185254681,138,0.00803893628597859,0.000981874185254681,0.88341218966219,3.00556230459388e-05,6.05813236394824e-06,22,2.84151595149592e-05,0.0115344100136243,0.00373875622056633,0.00088115901421126,22,0.00172707166785407,0.00201168455271226,0.0054658278884204
"17","MARIAN","Saipan","Saipan","2014","MOSP",3.6826371297371e-05,5.58486375092498e-06,22,"Saipan-2014",2.58449759562387,0.217536589175785,276,0.0258449759562387,0.00217536589175785,1,3.6826371297371e-05,5.58486375092498e-06,22,2.61953329538051e-05,0.0361398924541076,0.00142489477876576,0.000247142092783196,22,0.000484398501855064,0.000940496276910691,0.00190929328062082
"18","MARIAN","Saipan","Saipan","2014","POCS",4.59500260718911e-05,1.46063526546646e-05,22,"Saipan-2014",1.37879769294073,0.288315008111436,69,0.0137879769294073,0.00288315008111436,0.989336321573164,4.54600297701557e-05,1.44505952069663e-05,22,6.77792994975836e-05,0.0239492432641587,0.00329707759179648,0.00125449236732924,22,0.00245880503996531,0.000838272551831177,0.00575588263176179
"19","MARIAN","Saipan","Saipan","2014","POSP",8.55628265294108e-05,1.96771845429428e-05,22,"Saipan-2014",3.47745745676452,0.259429556280431,345,0.0347745745676452,0.00259429556280431,0.642734294175498,5.49941629170415e-05,1.26472013185694e-05,22,5.93206323822774e-05,0.0481869013963256,0.00158144746846763,0.000382348940686842,22,0.000749403923746211,0.000832043544721424,0.00233085139221385
"20","MARIAN","Saipan","Saipan","2014","SSSS",0.00121873879329196,0.000198956194056729,22,"Saipan-2014",13.9281310984363,1.01905776471381,69,0.139281310984363,0.0101905776471381,0.751949671335974,0.000916430235060291,0.000149605044731214,22,0.000701709859556374,0.0846492954606369,0.00657970713072322,0.00117706827816009,22,0.00230705382519378,0.00427265330552944,0.008886760955917
"21","MARIAN","Asuncion","Asuncion","2017","ACSP",0,0,12,"Asuncion-2017",0.022710581662331,0.011419087559971,62,0.00022710581662331,0.00011419087559971,0.88341218966219,0,0,12,0,0.000899139853612421,0,NA,12,NA,NA,NA
"22","MARIAN","Asuncion","Asuncion","2017","MOSP",1.44514816169746e-05,7.04683375960189e-06,12,"Asuncion-2017",0.234144954844275,0.0416807209894751,124,0.00234144954844275,0.000416807209894751,1,1.44514816169746e-05,7.04683375960189e-06,12,2.44109482082442e-05,0.00464136865884521,0.00617202349142478,0.00320387984192593,12,0.00627960449017482,-0.00010758099875004,0.0124516279815996
"23","MARIAN","Asuncion","Asuncion","2017","POCS",0.000203799692091946,5.15363471244618e-05,12,"Asuncion-2017",0.294682231582486,0.0675681990387026,31,0.00294682231582486,0.000675681990387026,0.989336321573164,0.000201626437711989,5.09867800914327e-05,12,0.000176623387265406,0.00376203810668294,0.0684216474910028,0.02335591797878,12,0.0457775992384089,0.022644048252594,0.114199246729412
"24","MARIAN","Asuncion","Asuncion","2017","POSP",0.000138862531248095,6.35473747433926e-05,12,"Asuncion-2017",0.512125245521515,0.0420865229059326,155,0.00512125245521515,0.000420865229059326,0.642734294175498,8.92517110091674e-05,4.08440770524003e-05,12,0.000141488033286031,0.00523972984607313,0.0174277116368827,0.00810298468958832,12,0.0158818499915931,0.00154586164528963,0.0333095616284759
"25","MARIAN","Asuncion","Asuncion","2017","SSSS",0.000839246273093104,0.000196077907878302,12,"Asuncion-2017",6.55826478180182,0.777036941493274,31,0.0655826478180182,0.00777036941493274,0.751949671335974,0.000631070959222301,0.000147440718385335,12,0.000510749630695708,0.0432635859144869,0.00962252943756443,0.00252072910481705,12,0.00494062904544142,0.00468190039212301,0.0145631584830058
"26","MARIAN","Maug","Maug","2017","ACSP",1.7880838641189e-06,1.00001610269005e-06,27,"Maug-2017",0.0797401501676093,0.0185706839112078,128,0.000797401501676093,0.000185706839112078,0.88341218966219,1.57961508170091e-06,8.83426414974866e-07,27,4.59041830645468e-06,0.00210103304398191,0.00198095323169149,0.00120010000207543,27,0.00235219600406784,-0.000371242772376342,0.00433314923575933
"27","MARIAN","Maug","Maug","2017","MOSP",4.90593867385269e-06,2.55100519997629e-06,27,"Maug-2017",0.281202407015086,0.0367796250700396,256,0.00281202407015086,0.000367796250700396,1,4.90593867385269e-06,2.55100519997629e-06,27,1.3255411850194e-05,0.00588474001120634,0.00174462897594952,0.000935436038205527,27,0.00183345463488283,-8.88256589333181e-05,0.00357808361083235
"28","MARIAN","Maug","Maug","2017","POCS",5.69384901192226e-05,1.49463346917469e-05,27,"Maug-2017",0.917703435767006,0.370167782180291,64,0.00917703435767006,0.00370167782180291,0.989336321573164,5.63313163704816e-05,1.47869517849342e-05,27,7.68352553417322e-05,0.0296134225744233,0.00613829197701549,0.00295409365661708,27,0.00579002356696947,0.000348268410046016,0.011928315543985
"29","MARIAN","Maug","Maug","2017","POSP",3.41705965213131e-05,9.16481616447401e-06,27,"Maug-2017",1.60814957117731,0.174452118095206,320,0.0160814957117731,0.00174452118095206,0.642734294175498,2.19626142366819e-05,5.8905416487214e-06,27,3.0608152259058e-05,0.0312069435903762,0.00136570718484869,0.000395119819453708,27,0.000774434846129268,0.000591272338719424,0.00214014203097796
"30","MARIAN","Maug","Maug","2017","SSSS",0.000706367130083293,0.000144624941983846,27,"Maug-2017",7.27260917883072,0.78105794354006,64,0.0727260917883072,0.0078105794354006,0.751949671335974,0.000531152531308668,0.000108750677591737,27,0.000565085096839294,0.0624846354832048,0.00730346589852179,0.00168857904242343,27,0.00330961492314992,0.00399385097537187,0.0106130808216717
"31","MARIAN","Pagan","Pagan","2017","ACSP",5.26929826632355e-06,3.05968364659385e-06,19,"Pagan-2017",0.242156501554824,0.0532609685073885,116,0.00242156501554824,0.000532609685073885,0.88341218966219,4.65496231943607e-06,2.70296182991107e-06,19,1.17819374648301e-05,0.00573638186399775,0.00192229499912154,0.00119359571179413,19,0.00233944759511649,-0.000417152595994945,0.00426174259423803
"32","MARIAN","Pagan","Pagan","2017","MOSP",1.24075320096639e-05,5.4600219446619e-06,19,"Pagan-2017",0.640003957850068,0.0545215333497756,232,0.00640003957850068,0.000545215333497756,1,1.24075320096639e-05,5.4600219446619e-06,19,2.37996838862957e-05,0.00830447254751367,0.00193866488753349,0.000868961931583776,19,0.0017031653859042,0.000235499501629289,0.00364183027343769
