"","REGION","Island","SEC_NAME","Site","Interval","GENUS_CODE","SIG","StartingDate","EndingDate","Interval_Years","Nrec","AdultCoralArea_cm2","A.Surv.m2","A.Surv.cm2","RecSFM_p_Survcm2","RecSFM_p_SiteAdcm2","RecSFM_p_SiteAdcm2_Yr"
"1","MARIAN","ASC","Asuncion","OCC-ASC-003","17_22","ACSP","ASC-003_1706-2207_ACSP","2017-06-07","2022-07-24",5.12799452429843,6,659.06195,124,1240000,4.83870967741936e-06,0.00910384828011995,0.00177532332317876
"2","MARIAN","ASC","Asuncion","OCC-ASC-003","17_22","POCS","ASC-003_1706-2207_POCS","2017-06-07","2022-07-24",5.12799452429843,34,83.75845,123,1230000,2.76422764227642e-05,0.40592919281577,0.0791594435002455
"3","MARIAN","ASC","Asuncion","OCC-ASC-003","17_22","POSP","ASC-003_1706-2207_POSP","2017-06-07","2022-07-24",5.12799452429843,17,1013.5452,14.1,141000,0.000120567375886525,0.0167728089482344,0.00327083207065809
"4","MARIAN","GUA","GUA_MP","OCC-GUA-015","17_22","POCS","GUA-015_1705-2206_POCS","2017-05-04","2022-06-15",5.11430527036276,2,1070.6873,12.5,125000,1.6e-05,0.00186795902034142,0.000365241987248236
"5","MARIAN","GUA","GUA_MP","OCC-GUA-015","17_22","POSP","GUA-015_1705-2206_POSP","2017-05-04","2022-06-15",5.11430527036276,4,3420.8651,12.5,125000,3.2e-05,0.00116929486637751,0.000228632200184362
"6","MARIAN","GUA","GUA_MP","OCC-GUA-026","17_22","POSP","GUA-026_1705-2208_POSP","2017-05-03","2022-08-01",5.24572210814511,68,15890.5077,5,50000,0.00136,0.00427928429247103,0.000815766486338749
"7","MARIAN","GUA","GUA_WEST_OPEN","OCC-GUA-025","17_22","ACSP","GUA-025_1705-2207_ACSP","2017-05-03","2022-07-08",5.18001368925394,1,0,12.5,125000,8e-06,Inf,NA
"8","MARIAN","GUA","GUA_WEST_OPEN","OCC-GUA-025","17_22","POCS","GUA-025_1705-2207_POCS","2017-05-03","2022-07-08",5.18001368925394,5,11.41755,25,250000,2e-05,0.437922321338641,0.0845407652584241
"9","MARIAN","GUA","GUA_WEST_OPEN","OCC-GUA-025","17_22","POSP","GUA-025_1705-2207_POSP","2017-05-03","2022-07-08",5.18001368925394,11,16112.7228,12,120000,9.16666666666667e-05,0.00068269032717425,0.000131793151162999
"10","MARIAN","MAU","Maug","OCC-MAU-002","14_17","ACSP","MAU-002_1405-1706_ACSP","2014-05-18","2017-06-05",3.04996577686516,5,13699.37,126.8,1268000,3.94321766561514e-06,0.000364980287414677,0.000119667010752433
