TL_id,TL_Date,TL_Class,TL_Genet,TL_Cx,TL_Cy,TL_Area,TL_SurfA,TL_Perim,TL_Note,template_O,Site,Morph_Code,Quadrat,TimePt,Annotator,QC_Check,Shape_Leng,Shape_Area,SArea
19,8/23/2016,PLOB,19,6192.8,9210.7,2765.67,0,623, ,0,OCC-OAH-005,MD,0,0,SD, ,6.566000286,0.306521035,0.552866387
18,8/23/2016,PMEA,18,5963.4,8681.9,54.23,0,36.7, ,0,OCC-OAH-005,BR,0,0,SD, ,0.386557955,0.00597551,0.009549475
23,8/23/2016,POSP,21,6107.6,9442.2,33.28,0,30.8, ,0,OCC-OAH-005,MD,0,0,SD, ,0.32446779,0.00366032,0.006941793
21,8/23/2016,POSP,20,5846.1,9331.4,23.19,0,20.4, ,0,OCC-OAH-005,MD,0,0,SD, ,0.215354466,0.00255082,0.007147444
20,8/23/2016,POSP,20,5945.5,9314.8,37.06,0,27.6, ,0,OCC-OAH-005,MD,0,0,SD, ,0.290925728,0.004080435,0.008613186
24,8/23/2016,POSP,20,5894.1,9321.5,17.35,0,20.1, ,0,OCC-OAH-005,MD,0,0,SD, ,0.212221148,0.001902795,0.003942267
22,8/23/2016,POSP,20,5808.9,9295.9,14.35,0,15.5, ,0,OCC-OAH-005,MD,0,0,SD, ,0.163234347,0.00157611,0.002535265
25,8/23/2016,PLUT,22,5888.6,8891.2,21.35,0,18.9, ,0,OCC-OAH-005,MD,0,0,SD, ,0.199134221,0.00234828,0.003126225
26,8/23/2016,PLUT,23,5892.5,8942,35.1,0,32.1, ,0,OCC-OAH-005,MD,0,0,SD, ,0.338283063,0.00386102,0.006491609
27,8/23/2016,PLOB,19,6178.8,8917,13.31,0,19.4, ,0,OCC-OAH-005,EM,0,0,SD, ,0.203678213,0.001456185,0.002080217
28,8/23/2016,PLOB,19,6216.1,8934,21.55,0,19.4, ,0,OCC-OAH-005,MD,0,0,SD, ,0.204603991,0.00236903,0.005167203
30,8/23/2016,PLOB,24,6222,8896.2,3.16,0,8.1, ,0,OCC-OAH-005,EM,0,0,SD, ,0.085424568,0.00034135,0.000404586
29,8/23/2016,PLOB,19,6196.6,8898.5,4.91,0,8.5, ,0,OCC-OAH-005,EM,0,0,SD, ,0.089298123,0.000535365,0.000647389
31,8/23/2016,POSP,25,5811.6,9018.7,18.61,0,18.6, ,0,OCC-OAH-005,MD,0,0,SD, ,0.196629807,0.002044895,0.002667388
32,8/23/2016,POSP,26,5855.4,9048.1,30.77,0,23.6, ,0,OCC-OAH-005,MD,0,0,SD, ,0.248280889,0.00338604,0.004314679
33,8/23/2016,PLUT,27,6129.8,8856.6,35.61,0,26, ,0,OCC-OAH-005,MD,0,0,SD, ,0.273858284,0.00392274,0.008676499
34,8/23/2016,MPAT,28,6032.1,8675.4,22.96,0,21.6, ,0,OCC-OAH-005,EM,0,0,SD, ,0.227306927,0.00252586,0.004194677
35,8/23/2016,PMEA,29,9152.9,3160.1,230.32,0,76.4, ,0,OCC-OAH-005,BR,1,0,SD, ,0.80498684,0.025460035,0.086852951
36,8/23/2016,POSP,30,9294.2,3132.9,222.38,0,58.3, ,0,OCC-OAH-005,MD,1,0,SD, ,0.613931188,0.02459241,0.054420133
37,8/23/2016,PLUT,31,9034.9,3246.5,99.31,0,42.4, ,0,OCC-OAH-005,MD,1,0,SD, ,0.446389257,0.01097296,0.020523715
38,8/23/2016,PLUT,32,8906.6,2900.9,131.31,0,58.6, ,0,OCC-OAH-005,MD,1,0,SD, ,0.617558577,0.014498815,0.020008495
39,8/23/2016,MPAT,33,8843.4,3165.4,244.39,0,166.6, ,0,OCC-OAH-005,EM,1,0,SD, ,1.753694424,0.026939435,0.040316392
41,8/23/2016,PLOB,34,8669.6,3256.9,45.8,0,27.6, ,0,OCC-OAH-005,MD,1,0,SD, ,0.290770065,0.005050345,0.012801986
40,8/23/2016,PLOB,34,8761.4,3282.4,158.19,0,59.2, ,0,OCC-OAH-005,MD,1,0,SD, ,0.624159854,0.017487125,0.035283791
43,8/23/2016,POSP,36,9255.9,3374.6,22.2,0,20.5, ,0,OCC-OAH-005,MD,1,0,SD, ,0.21572452,0.002441615,0.002861714
44,8/23/2016,POSP,37,9026.9,3355.8,43.8,0,42.6, ,0,OCC-OAH-005,EM,1,0,SD, ,0.449233995,0.004814055,0.015781012
61,8/23/2016,PLUT,49,10481.7,1163.8,498.83,0,159.6, ,0,OCC-OAH-005,MD,2,0,SD, ,1.681398734,0.055142275,0.142686215
47,8/23/2016,MCAP,40,10444.7,1492.3,62.76,0,35.6, ,0,OCC-OAH-005,EM,2,0,SD, ,0.375396071,0.006922715,0.018525209
48,8/23/2016,PLOB,41,10439.3,1572.8,52.05,0,36.6, ,0,OCC-OAH-005,MD,2,0,SD, ,0.385909679,0.005735005,0.016199772
