"Island","Site","Genus_Code","Site_Genet","Latitude","Longitude","Year_STA","Date_STA","Year_END","Date_END","Interval","GROWTH_LEp_cm.yr","GROWTH_LEv_cm.yr"
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_035",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.207142988069792,-0.18927441382922
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_035",23.87811,-166.29095,2016,"2016-09-25",2019,"2019-08-29","16_19",-0.0369855917359986,-0.0517590349243697
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_036",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.138448562894807,0.0571892348824608
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_036",23.87811,-166.29095,2016,"2016-09-25",2019,"2019-08-29","16_19",-0.195424015470813,-0.120124438848257
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_036",23.87811,-166.29095,2019,"2019-08-29",2024,"2024-08-11","19_24",-0.107567664374725,-0.0317660547175169
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_050",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0201511501556988,-0.0430410060884672
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_051",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.0154830437802763,-0.00547981124507189
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_057",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.0080677585412885,0.0131023391634771
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_058",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.014389694717552,1.05983196176133
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_069",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.193224067476353,-0.0543352611171187
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_075",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0529705160621214,0.00212707538911659
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_080",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.245435917542911,-0.0192250213143408
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_080",23.87811,-166.29095,2016,"2016-09-25",2019,"2019-08-29","16_19",0.0589777169537073,0.012856780156998
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_083",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0647605007458736,-0.0644118419628623
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_084",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.130258905707466,-0.093376815234759
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_084",23.87811,-166.29095,2016,"2016-09-25",2019,"2019-08-29","16_19",0.0891138694926353,0.111877318349748
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_085",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.0620704093292025,0.00773060535381317
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_090",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0529580541661903,-0.0425592208393932
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_092",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.0390631991491051,0.115403782918204
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_113",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.149724086478917,0.0328565073063402
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_116",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.145123481431682,0.151211115288299
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_129",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0849488782499929,-0.0216434457159323
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_136",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0672666063908325,-0.040022615673609
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_151",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",0.412456728859407,0.358509182652387
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_158",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0334153264615144,0.00152074352150935
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_159",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.258267412211178,-0.0282966867773089
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_197",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",-0.0673998116388701,-0.0237483595434521
