"Island","Site","Genus_Code","Site_Genet","Latitude","Longitude","Year_STA","Date_STA","Year_END","Date_END","Interval","Interval_Years","Perimeter_STAcm","Planar_Area_STAcm2","Surface_Area_STAcm2","nPatches_STA","Perimeter_ENDcm","Planar_Area_ENDcm2","Surface_Area_ENDcm2","nPatches_END","d_Pcm.yr","d_PAcm2.yr","d_SAcm2.yr","dL_Pcm.yr","dL_PAcm2.yr","dL_SAcm2.yr","d_Hcm.yr","d_Vcm3.yr","d_nPatches","LinExt_Planar_cm","LinExt_Vol_cm","LinExt_Planar_cm.yr","LinExt_Vol_cm.yr"
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_035",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",3.04722792607803,25.1500329,26.3242,69.7746,1,20.1115555,10.4492,20.52613,1,-1.65346259690027,-5.20965296495957,-16.1617283625337,-0.073366567827818,-0.303214354210562,-0.401535877112494,-0.402528502310281,-13.2065465151683,0,-0.631211897937517,-0.576762279512448,-0.207142988069792,-0.18927441382922
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_035",23.87811,-166.29095,2016,"2016-09-25",2019,"2019-08-29","16_19",2.92402464065708,20.1115555,10.4492,20.52613,1,15.2387633,8.2742,12.19535,1,-1.66646755716292,-0.743837780898877,-2.84907995786517,-0.0948870771610109,-0.079815736625084,-0.178057315199026,-0.0833568756616852,-1.06241267953215,0,-0.108146781585343,-0.151344693495487,-0.0369855917359986,-0.0517590349243697
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_036",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",3.04722792607803,23.7885111,26.8032,45.25014,1,32.6027245,36.8392,62.21251,1,2.89253499043127,3.29348517520215,5.56649204177897,0.103436017557554,0.104370667362628,0.104472113206837,0.000919361770003391,2.58782088492423,0,0.421884327178425,0.17426863360487,0.138448562894807,0.0571892348824607
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_036",23.87811,-166.29095,2016,"2016-09-25",2019,"2019-08-29","16_19",2.92402464065708,32.6027245,36.8392,62.21251,1,20.3600837,18.2092,25.83303,1,-4.18691437471911,-6.37135533707866,-12.4415777808989,-0.161017643038253,-0.240981394259878,-0.300579614486349,-0.138099901539102,-7.47324285309156,0,-0.571424636612808,-0.351246819137407,-0.195424015470813,-0.120124438848257
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_036",23.87811,-166.29095,2019,"2019-08-29",2024,"2024-08-11","19_24",4.95277207392197,20.3600837,18.2092,25.83303,1,12.6044487,7.3622,12.07739,1,-1.56591801202322,-2.19008665008292,-2.77736180762852,-0.0968198157411184,-0.18284066907064,-0.153513786780201,-7.27850111777791e-05,-0.820613444499256,0,-0.532758124172152,-0.157330028703595,-0.107567664374725,-0.0317660547175169
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_050",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",3.04722792607803,8.8103363,3.6502,5.61971,1,7.4547015,3.1092,3.29844,1,-0.444874762533693,-0.177538409703504,-0.761764481132075,-0.0548303929441119,-0.052643420883295,-0.174857426043465,-0.0650296155224076,-0.24187797232542,0,-0.0614051474970371,-0.131155755719272,-0.0201511501556988,-0.0430410060884672
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_051",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",3.04722792607803,17.1257689,16.0832,22.08619,1,22.5742973,16.8912,23.93263,1,1.7880278509434,0.265159029649594,0.60594088948787,0.0906488440496861,0.0160859405713378,0.0263486274714824,-0.0126677032600025,-0.121028152322794,0,0.0471803633879467,-0.0166982338556194,0.0154830437802763,-0.00547981124507187
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_057",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",3.04722792607803,4.8404878,1.4312,1.50438,1,5.0647517,1.5502,1.81713,1,0.073596037264151,0.0390518867924527,0.102634265498652,0.0148625616851773,0.0262109378065788,0.0619833779266946,0.0123342139212361,0.0197108969907517,0,0.0245842991278688,0.0399258137958934,0.00806775854128849,0.0131023391634771
"FFS","OCC-FFS-002","MOSP","OCC-FFS-002_058",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",3.04722792607803,11.5579307,3.5344,3.67942,2,9.337544,4.0412,31.60007,1,-0.728657899528301,0.166315094339622,9.16263918463611,-0.070007424641599,0.0439737778526427,0.705691945887473,0.964436336537645,3.89956691674387,-1,0.0438486795910621,3.22954955082919,0.014389694717552,1.05983196176133
"FFS","OCC-FFS-002","POSP","OCC-FFS-002_069",23.87811,-166.29095,2013,"2013-09-08",2016,"2016-09-25","13_16",3.04722792607803,11.6831284,8.2452,10.77617,1,4.4647516,1.3662,1.37262,1,-2.36883389595687,-2.25746159029649,-3.08593588274932,-0.31567451705471,-0.589912567466163,-0.676226374428192,-0.070620474843973,-0.585526010792461,0,-0.588797774404328,-0.165571925046826,-0.193224067476353,-0.0543352611171187
